Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.127,0.00,,
0.347,0.00,,
0.466,0.01,,
0.572,0.02,,
0.683,0.06,,
0.787,0.13,,
0.906,0.24,,
1.027,0.39,,
1.142,0.57,,
1.257,0.79,,
1.374,10.42,,
1.481,10.42,,
1.590,13.31,,
1.695,16.54,,
1.806,20.10,,
1.915,24.00,,
2.028,28.22,,
2.129,3.28,,
2.235,37.64,,
2.345,42.84,,
2.449,48.35,,
2.551,54.20,,
2.655,54.20,,
2.757,60.34,,
2.868,70.15,,
2.970,86.24,,
3.079,11.35,,
3.186,16.00,,
3.294,21.72,,
3.400,28.18,,
3.511,35.50,,
3.622,43.70,,
3.732,52.75,,
3.839,52.75,,
3.944,62.65,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
