Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.121,0.00,,
0.225,0.00,,
0.351,0.01,,
0.458,0.02,,
0.565,0.06,,
0.675,0.13,,
0.812,0.24,,
0.952,0.39,,
1.096,0.57,,
1.253,0.79,,
1.381,10.42,,
1.495,10.42,,
1.605,13.31,,
1.716,16.54,,
1.828,20.10,,
1.943,24.00,,
2.055,28.22,,
2.166,3.28,,
2.270,37.64,,
2.379,42.84,,
2.491,48.35,,
2.701,54.20,,
2.830,54.20,,
2.933,60.34,,
3.034,70.15,,
3.141,86.24,,
3.250,11.35,,
3.354,16.00,,
3.456,21.72,,
3.564,28.18,,
3.665,35.50,,
3.766,43.70,,
3.872,52.75,,
3.972,52.75,,
4.077,62.65,,
4.178,73.38,,
4.280,84.91,,
4.382,97.23,,
4.483,110.32,,
4.584,124.17,,
4.685,138.79,,
4.790,154.17,,
4.892,170.29,,
4.996,187.15,,
5.097,187.15,,
5.204,204.74,,
5.314,223.04,,
5.415,242.05,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
