Timestamp,Status_Low_Byte,Status_High_Byte,Status_16bit,Checksum,Altitude
2025-07-09 15:43:55.761,0,0,0,170,-7296.9091796875
2025-07-09 15:43:55.868,0,0,0,170,-7330.16455078125
2025-07-09 15:43:55.962,1,0,1,171,-7360.9091796875
2025-07-09 15:43:56.157,1,0,1,171,-7422.671875
2025-07-09 15:43:56.263,1,0,1,171,-7449.74658203125
2025-07-09 15:43:56.362,1,0,1,171,-7476.6416015625
2025-07-09 15:43:56.468,1,0,1,171,-7504.2744140625
2025-07-09 15:43:56.568,1,0,1,171,-19.658031463623047
2025-07-09 15:43:56.663,1,0,1,171,-5.465578079223633
2025-07-09 15:43:56.758,1,0,1,171,2.5923430919647217
2025-07-09 15:43:56.859,1,0,1,171,11.840377807617188
2025-07-09 15:43:57.061,1,0,1,171,28.517608642578125
2025-07-09 15:43:57.167,1,0,1,171,35.69929504394531
2025-07-09 15:43:57.262,1,0,1,171,42.85620880126953
2025-07-09 15:43:57.357,1,0,1,171,50.32948684692383
2025-07-09 15:43:57.463,1,0,1,171,58.02640914916992
2025-07-09 15:43:57.558,1,0,1,171,65.99757385253906
2025-07-09 15:43:57.664,1,0,1,171,70.21195220947266
2025-07-09 15:43:57.761,1,0,1,171,78.98905181884766
2025-07-09 15:43:57.964,1,0,1,171,99.82754516601562
2025-07-09 15:43:58.060,1,0,1,171,105.94169616699219
2025-07-09 15:43:58.158,1,0,1,171,112.42926788330078
2025-07-09 15:43:58.257,1,0,1,171,118.43216705322266
2025-07-09 15:43:58.364,1,0,1,171,124.6632308959961
2025-07-09 15:43:58.460,1,0,1,171,131.9769287109375
2025-07-09 15:43:58.567,1,0,1,171,140.12811279296875
2025-07-09 15:43:58.656,1,0,1,171,138.08885192871094
2025-07-09 15:43:58.860,1,0,1,171,149.31716918945312
2025-07-09 15:43:58.957,1,0,1,171,146.0786895751953
2025-07-09 15:43:59.067,1,0,1,171,144.78582763671875
2025-07-09 15:43:59.158,1,0,1,171,144.27305603027344
2025-07-09 15:43:59.266,1,0,1,171,145.15249633789062
2025-07-09 15:43:59.365,1,0,1,171,147.10281372070312
2025-07-09 15:43:59.460,1,0,1,171,149.09642028808594
2025-07-09 15:43:59.562,1,0,1,171,152.36325073242188
2025-07-09 15:43:59.762,1,0,1,171,169.9993896484375
2025-07-09 15:43:59.857,1,0,1,171,173.29824829101562
2025-07-09 15:43:59.965,1,0,1,171,178.05941772460938
2025-07-09 15:44:00.060,3,0,3,173,184.30935668945312
2025-07-09 15:44:00.165,3,0,3,173,191.66632080078125
2025-07-09 15:44:00.262,3,0,3,173,200.35708618164062
2025-07-09 15:44:00.366,3,0,3,173,210.60061645507812
2025-07-09 15:44:00.464,3,0,3,173,221.26519775390625
2025-07-09 15:44:00.663,3,0,3,173,248.53634643554688
2025-07-09 15:44:00.758,3,0,3,173,257.45367431640625
2025-07-09 15:44:00.864,3,0,3,173,267.9970703125
2025-07-09 15:44:00.959,3,0,3,173,280.2162780761719
2025-07-09 15:44:01.065,3,0,3,173,293.0086669921875
2025-07-09 15:44:01.162,3,0,3,173,306.6783447265625
2025-07-09 15:44:01.258,3,0,3,173,321.3565979003906
2025-07-09 15:44:01.358,3,0,3,173,336.9974365234375
2025-07-09 15:44:01.560,3,0,3,173,371.89361572265625
2025-07-09 15:44:01.667,3,0,3,173,388.2711181640625
2025-07-09 15:44:01.764,3,0,3,173,404.550048828125
2025-07-09 15:44:01.863,3,0,3,173,421.8664855957031
2025-07-09 15:44:01.959,3,0,3,173,437.9853820800781
2025-07-09 15:44:02.055,3,0,3,173,454.8832092285156
2025-07-09 15:44:02.159,3,0,3,173,472.85113525390625
2025-07-09 15:44:02.266,3,0,3,173,492.2239990234375
2025-07-09 15:44:02.458,3,0,3,173,531.6557006835938
2025-07-09 15:44:02.564,3,0,3,173,549.4823608398438
2025-07-09 15:44:02.660,3,0,3,173,567.8084106445312
2025-07-09 15:44:02.764,3,0,3,173,587.1129150390625
2025-07-09 15:44:02.863,3,0,3,173,607.2706298828125
2025-07-09 15:44:02.957,3,0,3,173,628.216552734375
2025-07-09 15:44:03.057,3,0,3,173,648.1493530273438
2025-07-09 15:44:03.163,3,0,3,173,666.2764892578125
2025-07-09 15:44:03.257,3,0,3,173,685.2777099609375
2025-07-09 15:44:03.465,3,0,3,173,728.1728515625
2025-07-09 15:44:03.568,3,0,3,173,748.7607421875
2025-07-09 15:44:03.657,3,0,3,173,768.30224609375
2025-07-09 15:44:03.763,3,0,3,173,788.4237060546875
2025-07-09 15:44:03.859,3,0,3,173,808.525634765625
2025-07-09 15:44:03.955,3,0,3,173,828.8695068359375
2025-07-09 15:44:04.061,3,0,3,173,849.3236083984375
2025-07-09 15:44:04.158,3,0,3,173,869.5926513671875
2025-07-09 15:44:04.360,3,0,3,173,908.9900512695312
2025-07-09 15:44:04.456,3,0,3,173,923.7256469726562
2025-07-09 15:44:04.563,3,0,3,173,942.1605834960938
2025-07-09 15:44:04.659,3,0,3,173,961.2623291015625
2025-07-09 15:44:04.756,3,0,3,173,980.806640625
2025-07-09 15:44:04.862,3,0,3,173,1001.288818359375
2025-07-09 15:44:04.967,3,0,3,173,1021.4636840820312
2025-07-09 15:44:05.064,3,0,3,173,1042.064697265625
2025-07-09 15:44:05.163,3,0,3,173,1063.2193603515625
2025-07-09 15:44:05.361,3,0,3,173,1100.8896484375
2025-07-09 15:44:05.467,3,0,3,173,1121.51025390625
2025-07-09 15:44:05.566,3,0,3,173,1141.861328125
2025-07-09 15:44:05.662,3,0,3,173,1160.187255859375
2025-07-09 15:44:05.760,3,0,3,173,1178.8768310546875
2025-07-09 15:44:05.858,3,0,3,173,1198.05908203125
2025-07-09 15:44:05.956,3,0,3,173,1217.845947265625
2025-07-09 15:44:06.055,3,0,3,173,1238.0162353515625
2025-07-09 15:44:06.164,3,0,3,173,1258.9920654296875
