Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.110,0.00,,
0.220,0.00,,
0.459,0.01,,
0.584,0.02,,
0.719,0.06,,
0.839,0.13,,
0.964,0.24,,
1.092,0.39,,
1.212,0.57,,
1.342,0.79,,
1.477,10.42,,
1.610,10.42,,
1.741,13.31,,
1.866,16.54,,
2.009,20.10,,
2.143,24.00,,
2.268,28.22,,
2.444,3.28,,
2.583,37.64,,
2.709,42.84,,
2.836,48.35,,
2.962,54.20,,
3.078,54.20,,
3.197,60.34,,
3.317,70.15,,
3.432,86.24,,
3.547,11.35,,
3.661,16.00,,
3.777,21.72,,
3.890,28.18,,
4.005,35.50,,
4.125,43.70,,
4.243,52.75,,
4.357,52.75,,
4.547,62.65,,
4.655,73.38,,
4.948,84.91,,
5.061,97.23,,
5.177,110.32,,
5.293,124.17,,
5.400,138.79,,
5.519,154.17,,
5.629,170.29,,
5.758,187.15,,
5.877,187.15,,
6.003,204.74,,
6.119,223.04,,
6.237,242.05,,
6.344,261.74,,
6.465,282.10,,
6.570,303.12,,
6.680,324.76,,
6.791,347.02,,
6.903,366.34,,
7.017,389.67,,
7.135,389.67,,
7.252,413.57,,
7.368,438.01,,
7.482,462.97,,
7.590,488.38,,
7.700,514.20,,
7.815,535.91,,
7.929,560.47,,
8.040,587.16,,
8.155,608.29,,
8.267,627.25,,
8.382,627.25,,
8.493,654.54,,
8.603,681.97,,
8.714,706.25,,
8.825,733.86,,
8.935,761.51,,
9.045,789.19,,
9.157,816.89,,
9.276,844.57,,
9.389,872.23,,
9.497,899.84,,
9.601,899.84,,
9.707,927.38,,
9.811,954.83,,
9.921,982.16,,
10.030,1009.40,,
10.143,1036.40,,
10.250,1063.30,,
10.363,1090.00,,
10.469,1116.50,,
10.579,1142.90,,
10.689,1169.10,,
10.798,1169.10,,
10.908,1195.00,,
11.021,1220.80,,
11.138,1246.50,,
11.249,1271.90,,
11.362,1297.10,,
11.476,1322.10,,
11.588,1347.00,,
11.702,1371.70,,
11.817,1396.20,,
11.932,1420.50,,
12.045,1420.50,,
12.162,1444.60,,
12.281,1468.50,,
12.409,1492.30,,
12.543,1515.90,,
12.660,1539.30,,
12.802,1562.60,,
12.933,1585.60,,
13.086,1608.50,,
13.229,1631.30,,
13.374,1653.80,,
13.525,1653.80,,
13.694,1676.20,,
13.837,1698.50,,
13.964,1720.60,,
14.093,1742.50,,
14.218,1764.20,,
14.342,1785.80,,
14.461,1807.30,,
14.572,1828.50,,
14.685,1849.70,,
14.800,1870.60,,
14.915,1870.60,,
15.030,1891.40,,
15.144,1912.10,,
15.257,1932.60,,
15.380,1953.00,,
15.501,1973.20,,
15.618,1993.20,,
15.736,2013.10,,
15.856,2032.90,,
15.970,2052.50,,
16.092,2072.00,,
16.202,2072.00,,
16.313,2091.30,,
16.430,2110.50,,
16.543,2129.50,,
16.658,2148.40,,
16.768,2167.10,,
16.879,2185.70,,
16.991,2204.20,,
17.104,2222.50,,
17.215,2240.70,,
17.328,2258.80,,
17.438,2258.80,,
17.552,2276.70,,
17.666,2294.50,,
17.775,2312.10,,
17.884,2329.60,,
17.997,2347.00,,
18.110,2364.30,,
18.219,2381.40,,
18.333,2398.40,,
18.457,2415.20,,
18.575,2431.90,,
18.694,2431.90,,
18.802,2448.50,,
18.915,2465.00,,
19.025,2481.30,,
19.140,2497.50,,
19.254,2513.50,,
19.364,2529.50,,
19.480,2545.30,,
19.599,2561.00,,
19.715,2576.60,,
19.828,2592.00,,
19.952,2592.00,,
20.080,2607.30,,
20.198,2622.50,,
20.316,2637.60,,
20.433,2652.50,,
20.555,2667.30,,
20.679,2682.00,,
20.792,2696.60,,
20.906,2711.00,,
21.027,2725.40,,
21.144,2739.60,,
21.276,2739.60,,
21.491,2753.70,,
21.964,2767.60,,
22.180,2781.50,,
22.399,2795.20,,
22.600,2808.80,,
22.813,2822.30,,
23.019,2835.70,,
23.223,2849.00,,
23.436,2862.10,,
23.666,2875.10,,
23.875,2875.10,,
24.072,2888.00,,
24.268,2900.80,,
24.466,2913.50,,
24.580,2926.10,,
24.766,2938.50,,
24.879,2950.80,,
25.073,2963.10,,
25.184,2975.20,,
25.397,2987.20,,
25.508,2999.00,,
25.729,2999.00,,
25.938,3010.80,,
26.048,3022.50,,
26.227,3034.00,,
26.440,3045.40,,
26.629,3056.80,,
26.748,3068.00,,
26.957,3079.10,,
27.163,3090.00,,
27.270,3100.90,,
27.496,3111.70,,
27.709,3111.70,,
27.930,3122.30,,
28.136,3132.90,,
28.341,3143.30,,
28.547,3153.60,,
28.762,3163.90,,
28.978,3174.00,,
29.191,3184.00,,
29.408,3193.90,,
29.563,3203.60,,
29.678,3213.30,,
29.780,3213.30,,
29.882,3222.90,,
29.983,3232.40,,
30.084,3241.70,,
30.186,3251.00,,
30.290,3260.10,,
30.435,3269.10,,
30.564,3278.10,,
30.689,3286.90,,
30.809,3295.60,,
30.948,3304.20,,
31.050,3304.20,,
31.150,3312.70,,
31.252,3321.10,,
31.353,3329.40,,
31.605,3337.60,,
31.707,3345.70,,
31.808,3353.70,,
31.909,3361.60,,
32.010,3369.30,,
32.111,3377.00,,
32.212,3384.60,,
32.314,3384.60,,
32.415,3392.00,,
32.517,3399.40,,
32.618,3406.70,,
32.720,3413.80,,
32.822,3420.90,,
32.924,3427.80,,
33.025,3434.70,,
33.126,3441.40,,
33.227,3448.00,,
33.328,3454.60,,
33.430,3454.60,,
33.531,3461.00,,
33.632,3467.30,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
