Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.114,0.00,,
0.218,0.00,,
0.344,0.01,,
0.459,0.02,,
0.561,0.06,,
0.674,0.13,,
0.783,0.24,,
0.900,0.39,,
1.015,0.57,,
1.133,0.79,,
1.244,10.42,,
1.351,10.42,,
1.464,13.31,,
1.568,16.54,,
1.682,20.10,,
1.791,24.00,,
1.904,28.22,,
2.015,3.28,,
2.123,37.64,,
2.232,42.84,,
2.339,48.35,,
2.450,54.20,,
2.551,54.20,,
2.652,60.34,,
2.760,70.15,,
2.866,86.24,,
2.977,11.35,,
3.083,16.00,,
3.184,21.72,,
3.289,28.18,,
3.393,35.50,,
3.499,43.70,,
3.605,52.75,,
3.710,52.75,,
3.818,62.65,,
3.922,73.38,,
4.026,84.91,,
4.136,97.23,,
4.242,110.32,,
4.349,124.17,,
4.454,138.79,,
4.565,154.17,,
4.676,170.29,,
4.790,187.15,,
4.895,187.15,,
5.007,204.74,,
5.122,223.04,,
5.308,242.05,,
5.414,261.74,,
5.522,282.10,,
5.628,303.12,,
5.736,324.76,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
