Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.121,0.00,,
0.338,0.00,,
0.459,0.01,,
0.576,0.02,,
0.683,0.06,,
0.793,0.13,,
0.901,0.24,,
1.020,0.39,,
1.133,0.57,,
1.244,0.79,,
1.353,10.42,,
1.473,10.42,,
1.587,13.31,,
1.698,16.54,,
1.809,20.10,,
1.922,24.00,,
2.042,28.22,,
2.153,3.28,,
2.267,37.64,,
2.377,42.84,,
2.487,48.35,,
2.594,54.20,,
2.704,54.20,,
2.816,60.34,,
2.920,70.15,,
3.029,86.24,,
3.137,11.35,,
3.241,16.00,,
3.345,21.72,,
3.450,28.18,,
3.558,35.50,,
3.669,43.70,,
3.777,52.75,,
3.884,52.75,,
3.995,62.65,,
4.105,73.38,,
4.211,84.91,,
4.319,97.23,,
4.429,110.32,,
4.533,124.17,,
4.640,138.79,,
4.750,154.17,,
4.855,170.29,,
4.963,187.15,,
5.070,187.15,,
5.181,204.74,,
5.293,223.04,,
5.396,242.05,,
5.498,261.74,,
5.603,282.10,,
5.714,303.12,,
5.822,324.76,,
5.932,347.02,,
6.042,366.34,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
