Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.131,0.00,,
0.330,0.00,,
0.432,0.01,,
0.537,0.02,,
0.638,0.06,,
0.739,0.13,,
0.840,0.24,,
0.941,0.39,,
1.042,0.57,,
1.145,0.79,,
1.247,10.42,,
1.349,10.42,,
1.455,13.31,,
1.557,16.54,,
1.659,20.10,,
1.761,24.00,,
1.866,28.22,,
1.968,3.28,,
2.083,37.64,,
2.192,42.84,,
2.308,48.35,,
2.413,54.20,,
2.520,54.20,,
2.626,60.34,,
2.735,70.15,,
2.853,86.24,,
2.961,11.35,,
3.065,16.00,,
3.175,21.72,,
3.277,28.18,,
3.378,35.50,,
3.480,43.70,,
3.582,52.75,,
3.687,52.75,,
3.791,62.65,,
3.897,73.38,,
4.000,84.91,,
4.102,97.23,,
4.204,110.32,,
4.307,124.17,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
