Timestamp,Status_Low_Byte,Status_High_Byte,Status_16bit,Checksum
2025-07-08 17:05:15.187,0,0,0,170
2025-07-08 17:05:15.282,0,0,0,170
2025-07-08 17:05:15.388,1,0,1,171
2025-07-08 17:05:15.497,1,0,1,171
2025-07-08 17:05:15.604,1,0,1,171
2025-07-08 17:05:15.806,1,0,1,171
2025-07-08 17:05:15.896,1,0,1,171
2025-07-08 17:05:15.995,1,0,1,171
2025-07-08 17:05:16.097,1,0,1,171
2025-07-08 17:05:16.196,1,0,1,171
2025-07-08 17:05:16.296,1,0,1,171
2025-07-08 17:05:16.397,1,0,1,171
2025-07-08 17:05:16.497,1,0,1,171
2025-07-08 17:05:16.685,1,0,1,171
2025-07-08 17:05:16.781,1,0,1,171
2025-07-08 17:05:16.887,1,0,1,171
2025-07-08 17:05:16.983,1,0,1,171
2025-07-08 17:05:17.090,1,0,1,171
2025-07-08 17:05:17.185,1,0,1,171
2025-07-08 17:05:17.280,1,0,1,171
2025-07-08 17:05:17.385,1,0,1,171
2025-07-08 17:05:17.600,1,0,1,171
2025-07-08 17:05:17.686,1,0,1,171
2025-07-08 17:05:17.791,1,0,1,171
2025-07-08 17:05:17.887,1,0,1,171
2025-07-08 17:05:17.999,1,0,1,171
2025-07-08 17:05:18.098,1,0,1,171
2025-07-08 17:05:18.182,1,0,1,171
2025-07-08 17:05:18.305,1,0,1,171
2025-07-08 17:05:18.496,1,0,1,171
2025-07-08 17:05:18.594,1,0,1,171
2025-07-08 17:05:18.694,1,0,1,171
2025-07-08 17:05:18.793,1,0,1,171
2025-07-08 17:05:18.900,1,0,1,171
2025-07-08 17:05:18.985,1,0,1,171
2025-07-08 17:05:19.082,1,0,1,171
2025-07-08 17:05:19.187,1,0,1,171
2025-07-08 17:05:19.385,1,0,1,171
2025-07-08 17:05:19.496,3,0,3,173
2025-07-08 17:05:19.595,3,0,3,173
2025-07-08 17:05:19.705,3,0,3,173
2025-07-08 17:05:19.805,3,0,3,173
2025-07-08 17:05:19.905,3,0,3,173
2025-07-08 17:05:20.003,3,0,3,173
2025-07-08 17:05:20.088,3,0,3,173
2025-07-08 17:05:20.300,3,0,3,173
2025-07-08 17:05:20.397,3,0,3,173
2025-07-08 17:05:20.495,3,0,3,173
2025-07-08 17:05:20.580,3,0,3,173
2025-07-08 17:05:20.700,3,0,3,173
2025-07-08 17:05:20.785,3,0,3,173
2025-07-08 17:05:20.888,3,0,3,173
2025-07-08 17:05:21.001,3,0,3,173
2025-07-08 17:05:21.184,3,0,3,173
2025-07-08 17:05:21.284,3,0,3,173
2025-07-08 17:05:21.406,3,0,3,173
2025-07-08 17:05:21.483,3,0,3,173
2025-07-08 17:05:21.614,3,0,3,173
2025-07-08 17:05:21.698,3,0,3,173
2025-07-08 17:05:21.789,3,0,3,173
2025-07-08 17:05:21.999,3,0,3,173
2025-07-08 17:05:22.094,3,0,3,173
2025-07-08 17:05:22.186,3,0,3,173
2025-07-08 17:05:22.303,3,0,3,173
2025-07-08 17:05:22.392,3,0,3,173
2025-07-08 17:05:22.487,3,0,3,173
2025-07-08 17:05:22.586,3,0,3,173
2025-07-08 17:05:22.792,3,0,3,173
2025-07-08 17:05:22.904,3,0,3,173
2025-07-08 17:05:22.986,3,0,3,173
2025-07-08 17:05:23.103,3,0,3,173
2025-07-08 17:05:23.198,3,0,3,173
2025-07-08 17:05:23.286,3,0,3,173
2025-07-08 17:05:23.405,3,0,3,173
2025-07-08 17:05:23.481,3,0,3,173
2025-07-08 17:05:23.691,3,0,3,173
2025-07-08 17:05:23.787,3,0,3,173
2025-07-08 17:05:23.887,3,0,3,173
2025-07-08 17:05:23.993,3,0,3,173
2025-07-08 17:05:24.089,3,0,3,173
2025-07-08 17:05:24.200,3,0,3,173
2025-07-08 17:05:24.295,3,0,3,173
2025-07-08 17:05:24.391,3,0,3,173
2025-07-08 17:05:24.487,3,0,3,173
2025-07-08 17:05:24.699,3,0,3,173
2025-07-08 17:05:24.789,3,0,3,173
2025-07-08 17:05:24.902,3,0,3,173
2025-07-08 17:05:24.996,3,0,3,173
2025-07-08 17:05:25.091,3,0,3,173
2025-07-08 17:05:25.202,3,0,3,173
2025-07-08 17:05:25.298,3,0,3,173
2025-07-08 17:05:25.393,3,0,3,173
2025-07-08 17:05:25.584,3,0,3,173
2025-07-08 17:05:25.694,3,0,3,173
2025-07-08 17:05:25.793,3,0,3,173
2025-07-08 17:05:25.879,3,0,3,173
2025-07-08 17:05:25.986,3,0,3,173
2025-07-08 17:05:26.091,3,0,3,173
2025-07-08 17:05:26.183,3,0,3,173
2025-07-08 17:05:26.297,3,0,3,173
2025-07-08 17:05:26.481,3,0,3,173
2025-07-08 17:05:26.578,3,0,3,173
2025-07-08 17:05:26.684,3,0,3,173
2025-07-08 17:05:26.781,3,0,3,173
2025-07-08 17:05:26.888,3,0,3,173
2025-07-08 17:05:26.994,3,0,3,173
2025-07-08 17:05:27.099,3,0,3,173
2025-07-08 17:05:27.199,3,0,3,173
2025-07-08 17:05:27.387,3,0,3,173
2025-07-08 17:05:27.497,3,0,3,173
2025-07-08 17:05:27.596,3,0,3,173
2025-07-08 17:05:27.695,3,0,3,173
2025-07-08 17:05:27.781,3,0,3,173
2025-07-08 17:05:27.886,3,0,3,173
2025-07-08 17:05:27.998,3,0,3,173
2025-07-08 17:05:28.083,3,0,3,173
2025-07-08 17:05:28.297,3,0,3,173
2025-07-08 17:05:28.396,3,0,3,173
2025-07-08 17:05:28.498,3,0,3,173
2025-07-08 17:05:28.599,3,0,3,173
2025-07-08 17:05:28.691,3,0,3,173
2025-07-08 17:05:28.800,3,0,3,173
2025-07-08 17:05:28.898,3,0,3,173
2025-07-08 17:05:28.996,3,0,3,173
2025-07-08 17:05:29.191,3,0,3,173
2025-07-08 17:05:29.299,3,0,3,173
2025-07-08 17:05:29.384,3,0,3,173
2025-07-08 17:05:29.481,3,0,3,173
2025-07-08 17:05:29.588,7,0,7,177
2025-07-08 17:05:29.686,7,0,7,177
2025-07-08 17:05:29.791,7,0,7,177
2025-07-08 17:05:29.891,7,0,7,177
2025-07-08 17:05:29.982,7,0,7,177
2025-07-08 17:05:30.189,7,0,7,177
2025-07-08 17:05:30.295,7,0,7,177
2025-07-08 17:05:30.386,7,0,7,177
2025-07-08 17:05:30.481,7,0,7,177
2025-07-08 17:05:30.587,7,0,7,177
2025-07-08 17:05:30.682,7,0,7,177
2025-07-08 17:05:30.780,7,0,7,177
2025-07-08 17:05:30.898,7,0,7,177
2025-07-08 17:05:31.096,7,0,7,177
2025-07-08 17:05:31.196,7,0,7,177
2025-07-08 17:05:31.313,7,0,7,177
2025-07-08 17:05:31.386,7,0,7,177
2025-07-08 17:05:31.498,7,0,7,177
2025-07-08 17:05:31.598,7,0,7,177
2025-07-08 17:05:31.698,7,0,7,177
