Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.125,0.00,,
0.229,0.00,,
0.350,0.01,,
0.463,0.02,,
0.573,0.06,,
0.675,0.13,,
0.776,0.24,,
0.885,0.39,,
0.986,0.57,,
1.094,0.79,,
1.195,10.42,,
1.297,10.42,,
1.399,13.31,,
1.501,16.54,,
1.610,20.10,,
1.733,24.00,,
1.839,28.22,,
1.941,3.28,,
2.048,37.64,,
2.160,42.84,,
2.265,48.35,,
2.369,54.20,,
2.470,54.20,,
2.575,60.34,,
2.681,70.15,,
2.785,86.24,,
2.886,11.35,,
2.987,16.00,,
3.088,21.72,,
3.190,28.18,,
3.291,35.50,,
3.392,43.70,,
3.494,52.75,,
3.596,52.75,,
3.699,62.65,,
3.800,73.38,,
3.902,84.91,,
4.005,97.23,,
4.108,110.32,,
4.213,124.17,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
