Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.130,0.00,,
0.235,0.00,,
0.344,0.01,,
0.445,0.02,,
0.546,0.06,,
0.648,0.13,,
0.749,0.24,,
0.849,0.39,,
0.951,0.57,,
1.052,0.79,,
1.153,10.42,,
1.255,10.42,,
1.356,13.31,,
1.457,16.54,,
1.558,20.10,,
1.659,24.00,,
1.766,28.22,,
1.877,3.28,,
1.978,37.64,,
2.080,42.84,,
2.183,48.35,,
2.285,54.20,,
2.386,54.20,,
2.487,60.34,,
2.590,70.15,,
2.691,86.24,,
2.792,11.35,,
2.893,16.00,,
3.004,21.72,,
3.110,28.18,,
3.221,35.50,,
3.327,43.70,,
3.438,52.75,,
3.547,52.75,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
