Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.120,0.00,,
0.223,0.00,,
0.347,0.01,,
0.459,0.02,,
0.632,0.06,,
0.739,0.13,,
0.844,0.24,,
0.948,0.39,,
1.051,0.57,,
1.164,0.79,,
1.274,10.42,,
1.382,10.42,,
1.485,13.31,,
1.592,16.54,,
1.711,20.10,,
1.814,24.00,,
1.921,28.22,,
2.022,3.28,,
2.124,37.64,,
2.231,42.84,,
2.352,48.35,,
2.466,54.20,,
2.579,54.20,,
2.685,60.34,,
2.787,70.15,,
2.897,86.24,,
3.006,11.35,,
3.116,16.00,,
3.225,21.72,,
3.329,28.18,,
3.430,35.50,,
3.532,43.70,,
3.633,52.75,,
3.734,52.75,,
3.835,62.65,,
3.936,73.38,,
4.038,84.91,,
4.140,97.23,,
4.241,110.32,,
4.343,124.17,,
4.443,138.79,,
4.548,154.17,,
4.650,170.29,,
4.754,187.15,,
4.856,187.15,,
4.958,204.74,,
5.059,223.04,,
5.160,242.05,,
5.262,261.74,,
5.388,282.10,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
