Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.123,0.00,,
0.227,0.00,,
0.338,0.01,,
0.440,0.02,,
0.542,0.06,,
0.643,0.13,,
0.744,0.24,,
0.845,0.39,,
0.946,0.57,,
1.048,0.79,,
1.148,10.42,,
1.249,10.42,,
1.360,13.31,,
1.461,16.54,,
1.562,20.10,,
1.665,24.00,,
1.768,28.22,,
1.869,3.28,,
1.973,37.64,,
2.079,42.84,,
2.186,48.35,,
2.288,54.20,,
2.389,54.20,,
2.495,60.34,,
2.606,70.15,,
2.714,86.24,,
2.832,11.35,,
2.955,16.00,,
3.056,21.72,,
3.158,28.18,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
