Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.130,0.00,,
0.231,0.00,,
0.338,0.01,,
0.446,0.02,,
0.547,0.06,,
0.648,0.13,,
0.753,0.24,,
0.854,0.39,,
0.955,0.57,,
1.056,0.79,,
1.158,10.42,,
1.272,10.42,,
1.386,13.31,,
1.501,16.54,,
1.610,20.10,,
1.716,24.00,,
1.824,28.22,,
1.925,3.28,,
2.037,37.64,,
2.143,42.84,,
2.255,48.35,,
2.362,54.20,,
2.468,54.20,,
2.576,60.34,,
2.681,70.15,,
2.786,86.24,,
2.900,11.35,,
3.008,16.00,,
3.113,21.72,,
3.217,28.18,,
3.324,35.50,,
3.430,43.70,,
3.535,52.75,,
3.642,52.75,,
3.762,62.65,,
3.879,73.38,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
