Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.121,0.00,,
0.222,0.00,,
0.334,0.01,,
0.444,0.02,,
0.617,0.06,,
0.727,0.13,,
0.828,0.24,,
0.929,0.39,,
1.031,0.57,,
1.139,0.79,,
1.243,10.42,,
1.350,10.42,,
1.453,13.31,,
1.563,16.54,,
1.670,20.10,,
1.786,24.00,,
1.887,28.22,,
1.988,3.28,,
2.097,37.64,,
2.205,42.84,,
2.312,48.35,,
2.418,54.20,,
2.529,54.20,,
2.637,60.34,,
2.750,70.15,,
2.853,86.24,,
2.959,11.35,,
3.060,16.00,,
3.164,21.72,,
3.278,28.18,,
3.388,35.50,,
3.489,43.70,,
3.601,52.75,,
3.712,52.75,,
3.814,62.65,,
3.929,73.38,,
4.035,84.91,,
4.136,97.23,,
4.238,110.32,,
4.339,124.17,,
4.440,138.79,,
4.541,154.17,,
4.644,170.29,,
4.753,187.15,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
0.132,0x0001,Roket kalkışı algılandı,0.00
1.134,0x0003,Motor yanma önlem süresi doldu,0.79
