Timestamp,Status_Low_Byte,Status_High_Byte,Status_16bit,Checksum
2025-08-29 12:41:09.376,0,0,0,170
2025-08-29 12:41:09.517,1,0,1,171
2025-08-29 12:41:09.672,1,0,1,171
2025-08-29 12:41:09.885,1,0,1,171
2025-08-29 12:41:09.974,1,0,1,171
2025-08-29 12:41:10.116,1,0,1,171
2025-08-29 12:41:10.300,1,0,1,171
2025-08-29 12:41:10.386,1,0,1,171
2025-08-29 12:41:10.594,1,0,1,171
2025-08-29 12:41:10.675,1,0,1,171
2025-08-29 12:41:10.902,1,0,1,171
2025-08-29 12:41:10.983,1,0,1,171
2025-08-29 12:41:11.169,1,0,1,171
2025-08-29 12:41:11.290,1,0,1,171
2025-08-29 12:41:11.501,1,0,1,171
2025-08-29 12:41:11.598,1,0,1,171
2025-08-29 12:41:11.790,1,0,1,171
2025-08-29 12:41:11.876,1,0,1,171
2025-08-29 12:41:12.022,1,0,1,171
2025-08-29 12:41:12.175,1,0,1,171
2025-08-29 12:41:12.346,1,0,1,171
2025-08-29 12:41:12.532,1,0,1,171
2025-08-29 12:41:12.697,1,0,1,171
2025-08-29 12:41:12.879,1,0,1,171
2025-08-29 12:41:13.007,1,0,1,171
2025-08-29 12:41:13.174,1,0,1,171
2025-08-29 12:41:13.299,1,0,1,171
2025-08-29 12:41:13.471,1,0,1,171
2025-08-29 12:41:13.597,1,0,1,171
2025-08-29 12:41:13.773,1,0,1,171
2025-08-29 12:41:13.895,1,0,1,171
2025-08-29 12:41:14.107,1,0,1,171
2025-08-29 12:41:14.189,1,0,1,171
2025-08-29 12:41:14.376,1,0,1,171
2025-08-29 12:41:14.477,1,0,1,171
2025-08-29 12:41:14.592,1,0,1,171
2025-08-29 12:41:14.777,1,0,1,171
2025-08-29 12:41:14.895,1,0,1,171
2025-08-29 12:41:15.091,1,0,1,171
2025-08-29 12:41:15.200,1,0,1,171
2025-08-29 12:41:15.373,1,0,1,171
2025-08-29 12:41:15.518,1,0,1,171
2025-08-29 12:41:15.670,1,0,1,171
2025-08-29 12:41:15.798,1,0,1,171
2025-08-29 12:41:15.989,1,0,1,171
2025-08-29 12:41:16.090,1,0,1,171
2025-08-29 12:41:16.299,1,0,1,171
2025-08-29 12:41:16.380,3,0,3,173
2025-08-29 12:41:16.603,3,0,3,173
2025-08-29 12:41:16.688,3,0,3,173
2025-08-29 12:41:16.886,3,0,3,173
2025-08-29 12:41:16.975,3,0,3,173
2025-08-29 12:41:17.106,3,0,3,173
2025-08-29 12:41:17.290,3,0,3,173
2025-08-29 12:41:17.396,3,0,3,173
2025-08-29 12:41:17.600,3,0,3,173
2025-08-29 12:41:17.687,3,0,3,173
2025-08-29 12:41:17.880,3,0,3,173
