Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.126,0.00,,
0.230,0.00,,
0.341,0.01,,
0.443,0.02,,
0.544,0.06,,
0.646,0.13,,
0.747,0.24,,
0.849,0.39,,
0.951,0.57,,
1.054,0.79,,
1.154,10.42,,
1.256,10.42,,
1.357,13.31,,
1.458,16.54,,
1.560,20.10,,
1.664,24.00,,
1.771,28.22,,
1.873,3.28,,
1.986,37.64,,
2.097,42.84,,
2.210,48.35,,
2.318,54.20,,
2.426,54.20,,
2.530,60.34,,
2.643,70.15,,
2.751,86.24,,
2.856,11.35,,
2.964,16.00,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
