Timestamp,Altitude,Pressure,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Checksum
17:06:51.289,0.36,895.91,0.59,0.12,9.79,-0.0,-0.0,-0.01,68
17:06:51.392,0.36,895.91,0.6,0.15,9.83,0.0,-0.0,-0.01,64
17:06:51.490,0.31,895.91,0.6,0.15,9.78,-0.0,-0.0,-0.0,82
17:06:51.588,0.3,895.91,0.6,0.15,9.8,-0.01,-0.01,-0.01,10
17:06:51.692,0.26,895.92,0.59,0.14,9.79,-0.0,-0.01,-0.0,128
17:06:51.788,0.3,895.91,0.6,0.14,9.79,-0.0,-0.0,-0.01,252
17:06:51.896,0.29,895.91,0.6,0.14,9.78,-0.01,-0.0,-0.01,243
17:06:51.990,0.26,895.92,0.59,0.13,9.79,0.0,-0.0,-0.01,224
17:06:52.089,0.28,895.92,0.6,0.14,9.79,-0.0,0.01,0.0,119
17:06:52.187,0.36,895.91,0.59,0.13,9.79,0.0,-0.02,-0.0,79
17:06:52.294,0.37,895.91,0.59,0.14,9.8,0.0,-0.01,-0.01,3
17:06:52.389,0.42,895.9,0.59,0.15,9.79,-0.0,0.01,0.01,31
17:06:52.497,0.44,895.9,0.6,0.14,9.8,0.01,-0.01,0.0,94
17:06:52.593,0.58,895.88,0.6,0.15,9.81,0.0,0.01,0.01,39
17:06:52.691,0.63,895.88,0.61,0.15,9.8,-0.0,0.01,0.0,69
17:06:52.796,0.76,895.86,0.6,0.13,9.8,-0.0,0.0,0.0,114
17:06:52.894,1.13,895.82,0.61,0.15,9.79,0.01,0.0,-0.0,202
17:06:52.991,1.18,895.82,0.6,0.14,9.77,-0.0,0.01,-0.0,50
17:06:53.089,1.03,895.83,0.61,0.15,9.78,0.0,-0.01,0.0,67
17:06:53.198,0.89,895.85,0.59,0.14,9.8,0.01,0.0,-0.0,224
17:06:53.297,0.69,895.87,0.59,0.14,9.8,0.0,-0.0,0.0,195
