Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.120,0.00,,
0.221,0.00,,
0.347,0.01,,
0.471,0.02,,
0.660,0.06,,
0.764,0.13,,
0.873,0.24,,
0.988,0.39,,
1.090,0.57,,
1.195,0.79,,
1.296,10.42,,
1.399,10.42,,
1.501,13.31,,
1.604,16.54,,
1.712,20.10,,
1.857,24.00,,
1.966,28.22,,
2.072,3.28,,
2.177,37.64,,
2.280,42.84,,
2.384,48.35,,
2.488,54.20,,
2.670,54.20,,
2.771,60.34,,
2.872,70.15,,
2.979,86.24,,
3.087,11.35,,
3.191,16.00,,
3.301,21.72,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
