Timestamp,Status_Low_Byte,Status_High_Byte,Status_16bit,Checksum
2025-07-02 17:25:30.439,0,0,0,170
2025-07-02 17:25:30.549,0,0,0,170
2025-07-02 17:25:30.645,0,0,0,170
2025-07-02 17:25:30.740,0,0,0,170
2025-07-02 17:25:30.845,0,0,0,170
2025-07-02 17:25:30.947,0,0,0,170
2025-07-02 17:25:31.043,0,0,0,170
2025-07-02 17:25:31.250,0,0,0,170
2025-07-02 17:25:31.349,0,0,0,170
2025-07-02 17:25:31.454,0,0,0,170
2025-07-02 17:25:31.548,0,0,0,170
2025-07-02 17:25:31.650,0,0,0,170
2025-07-02 17:25:31.750,0,0,0,170
2025-07-02 17:25:31.849,0,0,0,170
2025-07-02 17:25:31.952,0,0,0,170
2025-07-02 17:25:32.047,0,0,0,170
2025-07-02 17:25:32.153,0,0,0,170
2025-07-02 17:25:32.252,1,0,1,171
2025-07-02 17:25:32.455,1,0,1,171
2025-07-02 17:25:32.549,1,0,1,171
2025-07-02 17:25:32.654,1,0,1,171
2025-07-02 17:25:32.749,1,0,1,171
2025-07-02 17:25:32.854,1,0,1,171
2025-07-02 17:25:32.953,1,0,1,171
2025-07-02 17:25:33.059,1,0,1,171
2025-07-02 17:25:33.160,1,0,1,171
2025-07-02 17:25:33.258,1,0,1,171
2025-07-02 17:25:33.357,1,0,1,171
2025-07-02 17:25:33.452,1,0,1,171
2025-07-02 17:25:33.667,1,0,1,171
2025-07-02 17:25:33.760,1,0,1,171
2025-07-02 17:25:33.861,1,0,1,171
2025-07-02 17:25:33.955,1,0,1,171
2025-07-02 17:25:34.059,1,0,1,171
2025-07-02 17:25:34.158,1,0,1,171
2025-07-02 17:25:34.258,1,0,1,171
2025-07-02 17:25:34.357,1,0,1,171
2025-07-02 17:25:34.466,1,0,1,171
2025-07-02 17:25:34.565,1,0,1,171
2025-07-02 17:25:34.667,1,0,1,171
2025-07-02 17:25:34.872,1,0,1,171
2025-07-02 17:25:34.966,1,0,1,171
2025-07-02 17:25:35.065,1,0,1,171
2025-07-02 17:25:35.171,1,0,1,171
2025-07-02 17:25:35.265,1,0,1,171
2025-07-02 17:25:35.369,1,0,1,171
2025-07-02 17:25:35.469,1,0,1,171
2025-07-02 17:25:35.584,1,0,1,171
2025-07-02 17:25:35.669,1,0,1,171
2025-07-02 17:25:35.768,1,0,1,171
2025-07-02 17:25:35.879,1,0,1,171
2025-07-02 17:25:35.984,1,0,1,171
2025-07-02 17:25:36.172,1,0,1,171
2025-07-02 17:25:36.283,3,0,3,173
2025-07-02 17:25:36.383,3,0,3,173
2025-07-02 17:25:36.478,3,0,3,173
2025-07-02 17:25:36.573,3,0,3,173
2025-07-02 17:25:36.678,3,0,3,173
2025-07-02 17:25:36.784,3,0,3,173
