Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.128,0.00,,
0.229,0.00,,
0.349,0.01,,
0.450,0.02,,
0.552,0.06,,
0.652,0.13,,
0.754,0.24,,
0.855,0.39,,
0.955,0.57,,
1.059,0.79,,
1.160,10.42,,
1.261,10.42,,
1.363,13.31,,
1.464,16.54,,
1.569,20.10,,
1.697,24.00,,
1.802,28.22,,
1.902,3.28,,
2.003,37.64,,
2.105,42.84,,
2.205,48.35,,
2.306,54.20,,
2.407,54.20,,
2.508,60.34,,
2.609,70.15,,
2.711,86.24,,
2.812,11.35,,
2.912,16.00,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
