Timestamp,Altitude,Pressure,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Checksum
10:42:57.186,-0.05,898.34,-0.43,-0.15,9.8,0.01,-0.01,0.0,198
10:42:57.295,-0.06,898.34,-0.44,-0.15,9.79,-0.0,0.0,-0.01,131
10:42:57.393,-0.11,898.35,-0.41,-0.14,9.8,0.0,0.01,0.0,53
10:42:57.488,-0.13,898.35,-0.42,-0.16,9.79,0.0,0.0,0.0,249
10:42:57.589,-0.13,898.35,-0.42,-0.14,9.8,0.0,-0.0,-0.0,238
10:42:57.688,-0.13,898.35,-0.41,-0.15,9.79,0.0,0.0,-0.0,83
10:42:57.787,-0.13,898.35,-0.42,-0.14,9.79,-0.0,0.01,-0.01,234
10:42:57.885,-0.1,898.35,-0.41,-0.15,9.79,0.0,-0.0,0.0,99
10:42:57.990,-0.03,898.34,-0.43,-0.15,9.79,0.01,0.0,0.0,220
10:42:58.092,-0.03,898.34,-0.43,-0.15,9.8,0.0,0.01,0.0,24
10:42:58.188,-0.03,898.34,-0.43,-0.14,9.79,-0.0,-0.0,0.0,11
10:42:58.286,-0.02,898.34,-0.42,-0.15,9.79,0.0,0.0,0.01,155
10:42:58.390,-0.02,898.34,-0.43,-0.16,9.77,0.0,-0.01,-0.0,169
