Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.127,0.00,,
0.236,0.00,,
0.351,0.01,,
0.453,0.02,,
0.554,0.06,,
0.656,0.13,,
0.757,0.24,,
0.860,0.39,,
0.960,0.57,,
1.062,0.79,,
1.163,10.42,,
1.264,10.42,,
1.366,13.31,,
1.467,16.54,,
1.568,20.10,,
1.669,24.00,,
1.772,28.22,,
1.873,3.28,,
1.975,37.64,,
2.082,42.84,,
2.185,48.35,,
2.288,54.20,,
2.390,54.20,,
2.511,60.34,,
2.612,70.15,,
2.715,86.24,,
2.817,11.35,,
2.920,16.00,,
3.027,21.72,,
3.128,28.18,,
3.245,35.50,,
3.357,43.70,,
3.481,52.75,,
3.595,52.75,,
3.714,62.65,,
3.831,73.38,,
3.938,84.91,,
4.055,97.23,,
4.181,110.32,,
4.283,124.17,,
4.384,138.79,,
4.486,154.17,,
4.587,170.29,,
4.688,187.15,,
4.789,187.15,,
4.891,204.74,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
