Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.131,0.00,,
0.236,0.00,,
0.370,0.01,,
0.478,0.02,,
0.585,0.06,,
0.695,0.13,,
0.809,0.24,,
0.919,0.39,,
1.029,0.57,,
1.146,0.79,,
1.249,10.42,,
1.359,10.42,,
1.471,13.31,,
1.578,16.54,,
1.682,20.10,,
1.791,24.00,,
1.912,28.22,,
2.023,3.28,,
2.132,37.64,,
2.244,42.84,,
2.356,48.35,,
2.463,54.20,,
2.572,54.20,,
2.679,60.34,,
2.785,70.15,,
2.892,86.24,,
2.998,11.35,,
3.104,16.00,,
3.209,21.72,,
3.314,28.18,,
3.418,35.50,,
3.525,43.70,,
3.629,52.75,,
3.736,52.75,,
3.841,62.65,,
3.944,73.38,,
4.053,84.91,,
4.162,97.23,,
4.270,110.32,,
4.384,124.17,,
4.507,138.79,,
4.631,154.17,,
4.765,170.29,,
4.895,187.15,,
5.017,187.15,,
5.144,204.74,,
5.264,223.04,,
5.379,242.05,,
5.506,261.74,,
5.612,282.10,,
5.717,303.12,,
5.820,324.76,,
5.933,347.02,,
6.040,366.34,,
6.146,389.67,,
6.254,389.67,,
6.368,413.57,,
6.476,438.01,,
6.583,462.97,,
6.687,488.38,,
6.792,514.20,,
6.901,535.91,,
7.005,560.47,,
7.110,587.16,,
7.216,608.29,,
7.325,627.25,,
7.433,627.25,,
7.537,654.54,,
7.645,681.97,,
7.751,706.25,,
7.868,733.86,,
7.997,761.51,,
8.112,789.19,,
8.223,816.89,,
8.337,844.57,,
8.451,872.23,,
8.552,899.84,,
8.657,899.84,,
8.758,927.38,,
8.861,954.83,,
8.963,982.16,,
9.065,1009.40,,
9.167,1036.40,,
9.269,1063.30,,
9.371,1090.00,,
9.477,1116.50,,
9.581,1142.90,,
9.685,1169.10,,
9.792,1169.10,,
9.897,1195.00,,
10.002,1220.80,,
10.113,1246.50,,
10.219,1271.90,,
10.328,1297.10,,
10.437,1322.10,,
10.543,1347.00,,
10.651,1371.70,,
10.758,1396.20,,
10.868,1420.50,,
10.974,1420.50,,
11.081,1444.60,,
11.187,1468.50,,
11.294,1492.30,,
11.405,1515.90,,
11.511,1539.30,,
11.619,1562.60,,
11.731,1585.60,,
11.834,1608.50,,
11.947,1631.30,,
12.054,1653.80,,
12.162,1653.80,,
12.265,1676.20,,
12.373,1698.50,,
12.490,1720.60,,
12.607,1742.50,,
12.727,1764.20,,
12.854,1785.80,,
12.969,1807.30,,
13.075,1828.50,,
13.184,1849.70,,
13.291,1870.60,,
13.400,1870.60,,
13.509,1891.40,,
13.620,1912.10,,
13.728,1932.60,,
13.840,1953.00,,
13.952,1973.20,,
14.063,1993.20,,
14.172,2013.10,,
14.281,2032.90,,
14.390,2052.50,,
14.499,2072.00,,
14.604,2072.00,,
14.710,2091.30,,
14.821,2110.50,,
14.926,2129.50,,
15.032,2148.40,,
15.135,2167.10,,
15.242,2185.70,,
15.347,2204.20,,
15.457,2222.50,,
15.558,2240.70,,
15.664,2258.80,,
15.773,2258.80,,
15.875,2276.70,,
15.982,2294.50,,
16.086,2312.10,,
16.194,2329.60,,
16.300,2347.00,,
16.411,2364.30,,
16.537,2381.40,,
16.646,2398.40,,
16.757,2415.20,,
16.867,2431.90,,
16.978,2431.90,,
17.087,2448.50,,
17.196,2465.00,,
17.305,2481.30,,
17.419,2497.50,,
17.535,2513.50,,
17.644,2529.50,,
17.752,2545.30,,
17.862,2561.00,,
17.969,2576.60,,
18.075,2592.00,,
18.183,2592.00,,
18.291,2607.30,,
18.402,2622.50,,
18.512,2637.60,,
18.624,2652.50,,
18.740,2667.30,,
18.846,2682.00,,
18.955,2696.60,,
19.057,2711.00,,
19.166,2725.40,,
19.275,2739.60,,
19.384,2739.60,,
19.494,2753.70,,
19.605,2767.60,,
19.712,2781.50,,
19.820,2795.20,,
19.938,2808.80,,
20.042,2822.30,,
20.150,2835.70,,
20.259,2849.00,,
20.366,2862.10,,
20.475,2875.10,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
