Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.123,0.00,,
0.227,0.00,,
0.338,0.01,,
0.440,0.02,,
0.541,0.06,,
0.642,0.13,,
0.743,0.24,,
0.844,0.39,,
0.945,0.57,,
1.047,0.79,,
1.149,10.42,,
1.250,10.42,,
1.355,13.31,,
1.462,16.54,,
1.579,20.10,,
1.710,24.00,,
1.825,28.22,,
1.939,3.28,,
2.047,37.64,,
2.158,42.84,,
2.272,48.35,,
2.389,54.20,,
2.492,54.20,,
2.598,60.34,,
2.701,70.15,,
2.803,86.24,,
2.906,11.35,,
3.008,16.00,,
3.110,21.72,,
3.213,28.18,,
3.316,35.50,,
3.418,43.70,,
3.521,52.75,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
