Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.116,0.00,,
0.217,0.00,,
0.323,0.01,,
0.424,0.02,,
0.526,0.06,,
0.627,0.13,,
0.737,0.24,,
0.846,0.39,,
0.948,0.57,,
1.056,0.79,,
1.157,10.42,,
1.259,10.42,,
1.359,13.31,,
1.461,16.54,,
1.562,20.10,,
1.670,24.00,,
1.778,28.22,,
1.884,3.28,,
1.995,37.64,,
2.107,42.84,,
2.214,48.35,,
2.315,54.20,,
2.416,54.20,,
2.521,60.34,,
2.642,70.15,,
2.746,86.24,,
2.851,11.35,,
2.956,16.00,,
3.058,21.72,,
3.159,28.18,,
3.260,35.50,,
3.379,43.70,,
3.486,52.75,,
3.587,52.75,,
3.690,62.65,,
3.791,73.38,,
3.893,84.91,,
3.998,97.23,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
