Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.113,0.00,,
0.246,0.00,,
0.466,0.01,,
0.593,0.02,,
0.725,0.06,,
0.845,0.13,,
0.970,0.24,,
1.095,0.39,,
1.212,0.57,,
1.325,0.79,,
1.451,10.42,,
1.585,10.42,,
1.730,13.31,,
1.856,16.54,,
1.978,20.10,,
2.103,24.00,,
2.260,28.22,,
2.417,3.28,,
2.552,37.64,,
2.685,42.84,,
2.803,48.35,,
2.920,54.20,,
3.032,54.20,,
3.150,60.34,,
3.266,70.15,,
3.383,86.24,,
3.501,11.35,,
3.617,16.00,,
3.734,21.72,,
3.853,28.18,,
3.966,35.50,,
4.082,43.70,,
4.198,52.75,,
4.313,52.75,,
4.430,62.65,,
4.551,73.38,,
4.725,84.91,,
5.015,97.23,,
5.131,110.32,,
5.244,124.17,,
5.360,138.79,,
5.476,154.17,,
5.604,170.29,,
5.718,187.15,,
5.834,187.15,,
5.947,204.74,,
6.056,223.04,,
6.173,242.05,,
6.281,261.74,,
6.391,282.10,,
6.508,303.12,,
6.617,324.76,,
6.731,347.02,,
6.849,366.34,,
6.960,389.67,,
7.072,389.67,,
7.190,413.57,,
7.309,438.01,,
7.418,462.97,,
7.533,488.38,,
7.640,514.20,,
7.757,535.91,,
7.867,560.47,,
7.985,587.16,,
8.103,608.29,,
8.213,627.25,,
8.342,627.25,,
8.480,654.54,,
8.615,681.97,,
8.743,706.25,,
8.871,733.86,,
8.994,761.51,,
9.118,789.19,,
9.243,816.89,,
9.369,844.57,,
9.478,872.23,,
9.588,899.84,,
9.696,899.84,,
9.807,927.38,,
9.919,954.83,,
10.029,982.16,,
10.153,1009.40,,
10.258,1036.40,,
10.367,1063.30,,
10.477,1090.00,,
10.584,1116.50,,
10.689,1142.90,,
10.797,1169.10,,
10.915,1169.10,,
11.030,1195.00,,
11.136,1220.80,,
11.249,1246.50,,
11.362,1271.90,,
11.477,1297.10,,
11.594,1322.10,,
11.706,1347.00,,
11.823,1371.70,,
11.947,1396.20,,
12.062,1420.50,,
12.175,1420.50,,
12.287,1444.60,,
12.402,1468.50,,
12.515,1492.30,,
12.629,1515.90,,
12.742,1539.30,,
12.853,1562.60,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
