Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.127,0.00,,
0.236,0.00,,
0.372,0.01,,
0.487,0.02,,
0.599,0.06,,
0.713,0.13,,
0.825,0.24,,
0.944,0.39,,
1.059,0.57,,
1.181,0.79,,
1.295,10.42,,
1.408,10.42,,
1.518,13.31,,
1.635,16.54,,
1.749,20.10,,
1.875,24.00,,
1.997,28.22,,
2.120,3.28,,
2.235,37.64,,
2.359,42.84,,
2.475,48.35,,
2.590,54.20,,
2.701,54.20,,
2.807,60.34,,
2.918,70.15,,
3.035,86.24,,
3.148,11.35,,
3.260,16.00,,
3.372,21.72,,
3.481,28.18,,
3.594,35.50,,
3.708,43.70,,
3.813,52.75,,
3.928,52.75,,
4.042,62.65,,
4.161,73.38,,
4.273,84.91,,
4.384,97.23,,
4.497,110.32,,
4.603,124.17,,
4.711,138.79,,
4.817,154.17,,
4.930,170.29,,
5.048,187.15,,
5.168,187.15,,
5.296,204.74,,
5.430,223.04,,
5.550,242.05,,
5.672,261.74,,
5.807,282.10,,
5.929,303.12,,
6.072,324.76,,
6.204,347.02,,
6.343,366.34,,
6.484,389.67,,
6.617,389.67,,
6.747,413.57,,
6.883,438.01,,
7.010,462.97,,
7.139,488.38,,
7.271,514.20,,
7.409,535.91,,
7.540,560.47,,
7.678,587.16,,
7.809,608.29,,
7.931,627.25,,
8.073,627.25,,
8.207,654.54,,
8.339,681.97,,
8.462,706.25,,
8.598,733.86,,
8.740,761.51,,
8.873,789.19,,
9.017,816.89,,
9.167,844.57,,
9.315,872.23,,
9.469,899.84,,
9.596,899.84,,
9.717,927.38,,
9.837,954.83,,
9.955,982.16,,
10.065,1009.40,,
10.174,1036.40,,
10.284,1063.30,,
10.396,1090.00,,
10.504,1116.50,,
10.613,1142.90,,
10.729,1169.10,,
10.844,1169.10,,
10.956,1195.00,,
11.071,1220.80,,
11.185,1246.50,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
0.512,0x0001,Roket kalkışı algılandı,0.02
1.714,0x0003,Motor yanma önlem süresi doldu,20.10
