Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.114,0.00,,
0.215,0.00,,
0.324,0.01,,
0.430,0.02,,
0.531,0.06,,
0.632,0.13,,
0.733,0.24,,
0.834,0.39,,
0.935,0.57,,
1.036,0.79,,
1.137,10.42,,
1.242,10.42,,
1.343,13.31,,
1.445,16.54,,
1.550,20.10,,
1.655,24.00,,
1.757,28.22,,
1.860,3.28,,
1.961,37.64,,
2.063,42.84,,
2.169,48.35,,
2.270,54.20,,
2.371,54.20,,
2.472,60.34,,
2.573,70.15,,
2.685,86.24,,
2.798,11.35,,
2.909,16.00,,
3.014,21.72,,
3.119,28.18,,
3.220,35.50,,
3.322,43.70,,
3.425,52.75,,
3.526,52.75,,
3.627,62.65,,
3.732,73.38,,
3.834,84.91,,
3.937,97.23,,
4.043,110.32,,
4.147,124.17,,
4.248,138.79,,
4.351,154.17,,
4.452,170.29,,
4.557,187.15,,
4.658,187.15,,
4.770,204.74,,
4.871,223.04,,
4.974,242.05,,
5.084,261.74,,
5.200,282.10,,
5.320,303.12,,
5.431,324.76,,
5.542,347.02,,
5.648,366.34,,
5.762,389.67,,
5.868,389.67,,
5.985,413.57,,
6.087,438.01,,
6.188,462.97,,
6.289,488.38,,
6.396,514.20,,
6.513,535.91,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
