Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.115,0.00,,
0.217,0.00,,
0.331,0.01,,
0.512,0.02,,
0.614,0.06,,
0.741,0.13,,
0.842,0.24,,
0.949,0.39,,
1.050,0.57,,
1.159,0.79,,
1.269,10.42,,
1.380,10.42,,
1.488,13.31,,
1.589,16.54,,
1.694,20.10,,
1.817,24.00,,
1.921,28.22,,
2.021,3.28,,
2.124,37.64,,
2.224,42.84,,
2.326,48.35,,
2.427,54.20,,
2.528,54.20,,
2.633,60.34,,
2.735,70.15,,
2.841,86.24,,

Event_Log,,,
Time_Seconds,Status_16bit,Event_Description,Altitude_At_Event
0.116,0x0001,Roket kalkışı algılandı,0.00
1.210,0x0003,Motor yanma önlem süresi doldu,0.79
