zaman,yukseklik,ivme
12.10,2111.5,-14.384
12.15,2120.8,-14.332
12.20,2130.1,-14.284
12.25,2139.3,-14.236
12.30,2148.6,-14.193
12.35,2157.7,-14.153
12.40,2166.9,-14.114
12.45,2176.0,-14.075
12.50,2185.1,-14.036
12.55,2194.1,-13.995
12.60,2203.1,-13.955
12.65,2212.1,-13.915
12.70,2221.1,-13.878
12.75,2230.0,-13.844
12.80,2238.8,-13.813
12.85,2247.7,-13.786
12.90,2256.5,-13.752
12.95,2265.2,-13.719
13.00,2274.0,-13.674
13.05,2282.7,-13.635
13.10,2291.3,-13.599
13.15,2299.9,-13.563
13.20,2308.5,-13.522
13.25,2317.1,-13.482
13.30,2325.6,-13.445
13.35,2334.1,-13.41
13.40,2342.6,-13.376
13.45,2351.0,-13.343
13.50,2359.4,-13.311
13.55,2367.8,-13.278
13.60,2376.1,-13.245
13.65,2384.4,-13.212
13.70,2392.7,-13.18
13.75,2400.9,-13.148
13.80,2409.1,-13.117
13.85,2417.2,-13.087
13.90,2425.4,-13.057
13.95,2433.5,-13.029
14.00,2441.5,-13.003
14.05,2449.6,-12.978
14.10,2457.6,-12.951
14.15,2465.5,-12.92
14.20,2473.5,-12.891
14.25,2481.4,-12.858
14.30,2489.3,-12.827
14.35,2497.1,-12.794
14.40,2504.9,-12.762
14.45,2512.7,-12.732
14.50,2520.4,-12.702
14.55,2528.1,-12.675
14.60,2535.8,-12.648
14.65,2543.5,-12.622
14.70,2551.1,-12.595
14.75,2558.7,-12.567
14.80,2566.2,-12.541
14.85,2573.7,-12.514
14.90,2581.2,-12.488
14.95,2588.7,-12.462
15.00,2596.1,-12.436
15.05,2603.5,-12.412
15.10,2610.9,-12.389
15.15,2618.2,-12.368
15.20,2625.5,-12.344
15.25,2632.8,-12.323
15.30,2640.0,-12.306
15.35,2647.3,-12.281
15.40,2654.4,-12.258
15.45,2661.6,-12.235
15.50,2668.7,-12.212
15.55,2675.8,-12.183
15.60,2682.9,-12.158
15.65,2689.9,-12.132
15.70,2696.9,-12.107
15.75,2703.9,-12.08
15.80,2710.8,-12.055
15.85,2717.7,-12.031
15.90,2724.6,-12.009
15.95,2731.4,-11.988
16.00,2738.2,-11.966
16.05,2745.0,-11.945
16.10,2751.8,-11.924
16.15,2758.5,-11.902
16.20,2765.2,-11.881
16.25,2771.9,-11.86
16.30,2778.5,-11.839
16.35,2785.1,-11.819
16.40,2791.7,-11.799
16.45,2798.3,-11.782
16.50,2804.8,-11.766
16.55,2811.3,-11.749
16.60,2817.7,-11.727
16.65,2824.2,-11.71
16.70,2830.6,-11.692
16.75,2837.0,-11.672
16.80,2843.3,-11.65
16.85,2849.6,-11.628
16.90,2855.9,-11.609
16.95,2862.2,-11.589
17.00,2868.4,-11.57
17.05,2874.6,-11.551
17.10,2880.8,-11.531
17.15,2886.9,-11.512
17.20,2893.0,-11.494
17.25,2899.1,-11.476
17.30,2905.2,-11.458
17.35,2911.2,-11.441
17.40,2917.2,-11.423
17.45,2923.2,-11.407
17.50,2929.1,-11.392
17.55,2935.0,-11.375
17.60,2940.9,-11.36
17.65,2946.8,-11.345
17.70,2952.6,-11.328
17.75,2958.4,-11.313
17.80,2964.2,-11.295
17.85,2969.9,-11.277
17.90,2975.6,-11.26
17.95,2981.3,-11.245
18.00,2987.0,-11.23
18.05,2992.6,-11.214
18.10,2998.2,-11.197
18.15,3003.8,-11.181
18.20,3009.3,-11.166
18.25,3014.8,-11.152
18.30,3020.3,-11.139
18.35,3025.8,-11.122
18.40,3031.2,-11.108
18.45,3036.6,-11.094
18.50,3042.0,-11.079
18.55,3047.4,-11.065
18.60,3052.7,-11.05
18.65,3058.0,-11.035
18.70,3063.3,-11.021
18.75,3068.5,-11.007
18.80,3073.7,-10.993
18.85,3078.9,-10.979
18.90,3084.1,-10.965
18.95,3089.2,-10.952
19.00,3094.3,-10.938
19.05,3099.4,-10.924
19.10,3104.4,-10.911
19.15,3109.5,-10.898
19.20,3114.4,-10.885
19.25,3119.4,-10.873
19.30,3124.4,-10.86
19.35,3129.3,-10.847
19.40,3134.2,-10.834
19.45,3139.0,-10.822
19.50,3143.9,-10.81
19.55,3148.7,-10.798
19.60,3153.4,-10.787
19.65,3158.2,-10.776
19.70,3162.9,-10.766
19.75,3167.6,-10.754
19.80,3172.3,-10.743
19.85,3176.9,-10.732
19.90,3181.5,-10.718
19.95,3186.1,-10.706
20.00,3190.7,-10.694
20.05,3195.2,-10.682
20.10,3199.7,-10.67
20.15,3204.2,-10.659
20.20,3208.7,-10.647
20.25,3213.1,-10.636
20.30,3217.5,-10.625
20.35,3221.9,-10.614
20.40,3226.2,-10.604
20.45,3230.6,-10.594
20.50,3234.9,-10.583
20.55,3239.1,-10.572
20.60,3243.4,-10.562
20.65,3247.6,-10.552
20.70,3251.8,-10.542
20.75,3256.0,-10.531
20.80,3260.1,-10.522
20.85,3264.2,-10.513
20.90,3268.3,-10.503
20.95,3272.4,-10.495
21.00,3276.4,-10.486
21.05,3280.4,-10.477
21.10,3284.4,-10.469
21.15,3288.3,-10.461
21.20,3292.3,-10.452
21.25,3296.2,-10.446
21.30,3300.1,-10.437
21.35,3303.9,-10.429
21.40,3307.7,-10.421
21.45,3311.5,-10.415
21.50,3315.3,-10.408
21.55,3319.1,-10.397
21.60,3322.8,-10.388
21.65,3326.5,-10.378
21.70,3330.1,-10.367
21.75,3333.8,-10.358
21.80,3337.4,-10.346
21.85,3341.0,-10.336
21.90,3344.6,-10.327
21.95,3348.1,-10.321
22.00,3351.6,-10.311
22.05,3355.1,-10.304
22.10,3358.6,-10.294
22.15,3362.0,-10.286
22.20,3365.4,-10.277
22.25,3368.8,-10.269
22.30,3372.2,-10.261
22.35,3375.5,-10.254
22.40,3378.8,-10.246
22.45,3382.1,-10.239
22.50,3385.3,-10.232
22.55,3388.6,-10.225
22.60,3391.8,-10.218
22.65,3395.0,-10.211
22.70,3398.1,-10.204
22.75,3401.2,-10.197
22.80,3404.3,-10.19
22.85,3407.4,-10.184
22.90,3410.5,-10.178
22.95,3413.5,-10.172
23.00,3416.5,-10.165
23.05,3419.5,-10.157
23.10,3422.4,-10.151
23.15,3425.4,-10.145
23.20,3428.3,-10.138
23.25,3431.1,-10.132
23.30,3434.0,-10.126
23.35,3436.8,-10.119
23.40,3439.6,-10.113
23.45,3442.4,-10.107
23.50,3445.1,-10.103
23.55,3447.9,-10.1
23.60,3450.6,-10.095
23.65,3453.2,-10.091
23.70,3455.9,-10.087
23.75,3458.5,-10.085
23.80,3461.1,-10.078
23.85,3463.7,-10.077
23.90,3466.2,-10.075
23.95,3468.7,-10.07
24.00,3471.2,-10.064
24.05,3473.7,-10.057
24.10,3476.1,-10.052
24.15,3478.6,-10.045
24.20,3481.0,-10.037
24.25,3483.3,-10.033
24.30,3485.7,-10.026
24.35,3488.0,-10.022
24.40,3490.3,-10.021
24.45,3492.6,-10.02
24.50,3494.8,-10.01
24.55,3497.0,-10.005
24.60,3499.2,-10.002
24.65,3501.4,-9.9973
24.70,3503.5,-9.9947
24.75,3505.7,-9.9918
24.80,3507.8,-9.991
24.85,3509.8,-9.9885
24.90,3511.9,-9.9786
24.95,3513.9,-9.9708
25.00,3515.9,-9.9645
25.05,3517.9,-9.9613
25.10,3519.8,-9.955
25.15,3521.7,-9.9525
25.20,3523.6,-9.946
25.25,3525.5,-9.9413
25.30,3527.4,-9.9396
25.35,3529.2,-9.9365
25.40,3531.0,-9.932
25.45,3532.7,-9.9271
25.50,3534.5,-9.9227
25.55,3536.2,-9.9166
25.60,3537.9,-9.9137
25.65,3539.6,-9.9098
25.70,3541.2,-9.9064
25.75,3542.9,-9.9025
25.80,3544.5,-9.8999
25.85,3546.0,-9.8954
25.90,3547.6,-9.8921
25.95,3549.1,-9.8884
26.00,3550.6,-9.8846
26.05,3552.1,-9.8823
26.10,3553.5,-9.8802
26.15,3554.9,-9.8772
26.20,3556.4,-9.8737
26.25,3557.7,-9.8693
26.30,3559.1,-9.8658
26.35,3560.4,-9.8628
26.40,3561.7,-9.8599
26.45,3563.0,-9.8571
26.50,3564.2,-9.8544
26.55,3565.5,-9.8526
26.60,3566.7,-9.8501
26.65,3567.8,-9.8475
26.70,3569.0,-9.845
26.75,3570.1,-9.8429
26.80,3571.2,-9.8406
26.85,3572.3,-9.8377
26.90,3573.4,-9.8354
26.95,3574.4,-9.8329
27.00,3575.4,-9.8309
27.05,3576.4,-9.829
27.10,3577.4,-9.8271
27.15,3578.3,-9.8251
27.20,3579.2,-9.823
27.25,3580.1,-9.8209
