zaman,yukseklik,ivme
0.000,0.0,-7.5787
0.020,0.0,-3.2904
0.040,0.0,0.99911
0.060,7.9995e-06,5.2896
0.080,6.6328e-05,9.5811
0.100,0.00024365,13.874
0.120,0.00060864,18.167
0.140,0.00123,22.462
0.160,0.0021764,26.757
0.180,0.0035167,31.054
0.200,0.0053194,35.351
0.220,0.0076535,39.65
0.240,0.010588,43.949
0.260,0.014191,48.249
0.280,0.018531,52.551
0.300,0.023679,56.853
0.320,0.029701,61.157
0.340,0.036668,65.461
0.360,0.044648,69.766
0.380,0.053709,74.073
0.400,0.063922,78.38
0.420,0.075354,82.688
0.440,0.088075,86.997
0.460,0.10215,91.307
0.480,0.11766,95.618
0.500,0.13466,97.534
0.520,0.15321,97.059
0.540,0.17331,96.589
0.560,0.19496,96.119
0.580,0.21816,95.648
0.600,0.24289,95.177
0.620,0.26914,94.706
0.640,0.29692,94.235
0.660,0.3262,93.764
0.680,0.35699,93.292
0.700,0.38928,92.82
0.720,0.42306,92.348
0.740,0.45832,91.875
0.760,0.49505,91.402
0.780,0.53325,90.929
0.800,0.57291,90.456
0.820,0.61402,89.982
0.840,0.65657,89.508
0.860,0.70056,89.034
0.880,0.74598,88.56
0.900,0.79282,88.086
0.920,0.84107,87.611
0.940,0.89073,87.136
0.960,0.94179,86.661
0.980,0.99424,86.185
1.000,1.0481,85.85
1.020,1.1033,85.653
1.040,1.1599,85.455
1.060,1.2178,85.257
1.080,1.2771,85.058
1.100,1.3378,84.86
1.120,1.3998,84.662
1.140,1.4632,84.463
1.160,1.528,84.265
1.180,1.5941,84.066
1.200,1.6615,83.867
1.220,1.7303,83.668
1.240,1.8004,83.469
1.260,1.8719,83.27
1.280,1.9447,83.071
1.300,2.0188,82.872
1.320,2.0943,82.673
1.340,2.1711,82.473
1.360,2.2492,82.274
1.380,2.3286,82.074
1.400,2.4093,81.874
1.420,2.4914,81.674
1.440,2.5747,81.475
1.460,2.6594,81.275
1.480,2.7454,81.075
1.500,2.8326,80.969
1.520,2.9212,80.958
1.540,3.011,80.946
1.560,3.1022,80.935
1.580,3.1946,80.923
1.600,3.2884,80.912
1.620,3.3834,80.9
1.640,3.4797,80.888
1.660,3.5774,80.877
1.680,3.6763,80.865
1.700,3.7765,80.853
1.720,3.878,80.842
1.740,3.9808,80.83
1.760,4.0849,80.818
1.780,4.1903,80.806
1.800,4.297,80.794
1.820,4.405,80.782
1.840,4.5142,80.771
1.860,4.6248,80.759
1.880,4.7366,80.747
1.900,4.8498,80.735
1.920,4.9642,80.722
1.940,5.08,80.71
1.960,5.197,80.698
1.980,5.3153,80.686
2.000,5.4349,80.737
2.020,5.5558,80.852
2.040,5.678,80.967
2.060,5.8015,81.082
2.080,5.9263,81.197
2.100,6.0523,81.176
2.120,6.2439,81.368
2.140,6.5367,81.656
2.160,6.9883,82.088
2.180,7.6849,82.729
2.200,8.4144,83.267
2.220,9.1772,83.492
2.240,9.9734,83.65
2.260,10.803,83.809
2.280,11.666,83.972
2.300,12.563,84.136
2.320,13.493,84.298
2.340,14.457,84.457
2.360,15.455,84.617
2.380,16.487,84.784
2.400,17.553,84.952
2.420,18.652,85.116
2.440,19.786,85.275
2.460,20.954,85.433
2.480,22.155,85.597
2.500,23.392,85.762
2.520,24.662,85.926
2.540,25.967,86.089
2.560,27.306,86.252
2.580,28.68,86.42
2.600,30.088,86.589
2.620,31.531,86.755
2.640,33.009,86.919
2.660,34.521,87.083
2.680,36.069,87.251
2.700,37.651,87.371
2.720,39.268,87.096
2.740,40.92,86.729
2.760,42.607,86.358
2.780,44.328,85.984
2.800,46.084,85.608
2.820,47.875,85.23
2.840,49.699,84.848
2.860,51.558,84.464
2.880,53.45,84.078
2.900,55.376,83.689
2.920,57.336,83.297
2.940,59.329,82.901
2.960,61.356,82.503
2.980,63.415,82.1
3.000,65.508,81.695
3.020,67.633,81.287
3.040,69.791,80.877
3.060,71.981,80.464
3.080,74.204,80.048
3.100,76.458,79.631
3.120,78.745,79.212
3.140,81.064,78.791
3.160,83.414,78.369
3.180,85.795,77.943
3.200,88.208,77.545
3.220,90.652,77.382
3.240,93.127,77.269
3.260,95.633,77.153
3.280,98.17,77.036
3.300,100.74,76.919
3.320,103.34,76.803
3.340,105.97,76.688
3.360,108.62,76.574
3.380,111.32,76.457
3.400,114.04,76.341
3.420,116.79,76.226
3.440,119.57,76.111
3.460,122.38,75.996
3.480,125.23,75.882
3.500,128.1,75.768
3.520,131.0,75.655
3.540,133.94,75.542
3.560,136.9,75.428
3.580,139.9,75.311
3.600,142.92,75.193
3.620,145.98,75.071
3.640,149.06,74.947
3.660,152.18,74.821
3.680,155.32,74.691
3.700,158.5,74.549
3.720,161.7,74.32
3.740,164.94,74.066
3.760,168.2,73.808
3.780,171.5,73.549
3.800,174.82,73.289
3.820,178.17,73.027
3.840,181.55,72.761
3.860,184.97,72.494
3.880,188.41,72.231
3.900,191.88,71.97
3.920,195.37,71.707
3.940,198.9,71.444
3.960,202.46,71.182
3.980,206.04,70.924
4.000,209.65,70.668
4.020,213.29,70.413
4.040,216.96,70.16
4.060,220.66,69.906
4.080,224.38,69.651
4.100,228.14,69.396
4.120,231.92,69.139
4.140,235.73,68.881
4.160,239.56,68.62
4.180,243.43,68.356
4.200,247.32,68.078
4.220,251.24,67.704
4.240,255.18,67.304
4.260,259.15,66.9
4.280,263.15,66.494
4.300,267.18,66.086
4.320,271.23,65.677
4.340,275.31,65.267
4.360,279.42,64.856
4.380,283.55,64.447
4.400,287.7,64.037
4.420,291.89,63.628
4.440,296.1,63.218
4.460,300.33,62.807
4.480,304.59,62.394
4.500,308.87,61.98
4.520,313.18,61.563
4.540,317.51,61.146
4.560,321.87,60.726
4.580,326.26,60.306
4.600,330.66,59.885
4.620,335.09,59.462
4.640,339.55,59.037
4.660,344.03,58.61
4.680,348.53,58.185
4.700,353.05,57.779
4.720,357.6,57.527
4.740,362.17,57.307
4.760,366.77,57.086
4.780,371.38,56.868
4.800,376.02,56.651
4.820,380.69,56.434
4.840,385.37,56.217
4.860,390.08,55.999
4.880,394.81,55.779
4.900,399.56,55.558
4.920,404.34,55.337
4.940,409.13,55.116
4.960,413.95,54.578
4.980,418.8,53.616
5.000,423.66,52.648
5.020,428.54,51.68
5.040,433.45,50.71
5.060,438.37,49.742
5.080,443.32,48.774
5.100,448.28,47.806
5.120,453.27,46.838
5.140,458.27,45.871
5.160,463.29,44.905
5.180,468.33,43.938
5.200,473.39,42.953
5.220,478.47,41.825
5.240,483.56,40.662
5.260,488.67,39.497
5.280,493.79,38.331
5.300,498.93,37.163
5.320,504.09,35.996
5.340,509.26,34.829
5.360,514.44,33.663
5.380,519.64,32.498
5.400,524.85,31.335
5.420,530.08,30.175
5.440,535.31,29.018
5.460,540.56,28.311
5.480,545.82,28.199
5.500,551.09,28.074
5.520,556.37,27.819
5.540,561.66,27.533
5.560,566.97,27.246
5.580,572.28,26.958
5.600,577.61,26.669
5.620,582.95,26.379
5.640,588.29,26.088
5.660,593.65,25.796
5.680,599.02,25.505
5.700,604.4,25.13
5.720,609.79,24.06
5.740,615.19,22.835
5.760,620.59,21.611
5.780,626.01,20.388
5.800,631.44,19.168
5.820,636.87,17.948
5.840,642.31,16.729
5.860,647.76,15.51
5.880,653.21,14.291
5.900,658.67,13.073
5.920,664.14,11.856
5.940,669.61,10.638
5.960,675.08,9.6961
5.980,680.56,9.1216
6.000,686.04,8.5507
6.020,691.53,7.9819
6.040,697.02,7.4149
6.060,702.51,6.8492
6.080,708.01,6.2849
6.100,713.5,5.7204
6.120,719.0,5.1552
6.140,724.51,4.5896
6.160,730.01,4.024
6.180,735.52,3.4586
6.200,741.02,2.9182
6.220,746.53,2.5837
6.240,752.04,2.2959
6.260,757.55,2.0089
6.280,763.07,1.7218
6.300,768.58,1.4356
6.320,774.09,1.1505
6.340,779.61,0.8659
6.360,785.12,0.58073
6.380,790.64,0.29484
6.400,796.15,0.0081912
6.420,801.66,-0.27934
6.440,807.18,-0.56768
6.460,812.69,-0.93336
6.480,818.21,-1.4017
6.500,823.72,-1.869
6.520,829.24,-2.3326
6.540,834.75,-2.7919
6.560,840.26,-3.2486
6.580,845.77,-3.7046
6.600,851.28,-4.1591
6.620,856.78,-4.6128
6.640,862.29,-5.0664
6.660,867.79,-5.5195
6.680,873.29,-5.9724
6.700,878.79,-6.4226
6.720,884.29,-6.8487
6.740,889.78,-7.27
6.760,895.28,-7.6917
6.780,900.76,-8.1125
6.800,906.25,-8.5322
6.820,911.73,-8.9503
6.840,917.21,-9.3668
6.860,922.68,-9.7822
6.880,928.15,-10.197
6.900,933.62,-10.612
6.920,939.08,-11.026
6.940,944.54,-11.44
6.960,949.99,-11.854
6.980,955.44,-12.269
7.000,960.89,-12.685
7.020,966.33,-13.103
7.040,971.76,-13.52
7.060,977.19,-13.937
7.080,982.61,-14.35
7.100,988.03,-14.761
7.120,993.44,-15.166
7.140,998.85,-15.566
7.160,1004.2,-15.964
7.180,1009.6,-16.365
7.200,1015.0,-16.738
7.220,1020.4,-16.879
7.240,1025.8,-16.969
7.260,1031.1,-17.06
7.280,1036.5,-17.154
7.300,1041.9,-17.248
7.320,1047.2,-17.342
7.340,1052.5,-17.436
7.360,1057.9,-17.531
7.380,1063.2,-17.626
7.400,1068.5,-17.719
7.420,1073.8,-17.813
7.440,1079.1,-17.906
7.460,1084.4,-17.999
7.480,1089.7,-18.092
7.500,1095.0,-18.186
7.520,1100.3,-18.281
7.540,1105.6,-18.377
7.560,1110.8,-18.474
7.580,1116.1,-18.572
7.600,1121.3,-18.672
7.620,1126.6,-18.771
7.640,1131.8,-18.87
7.660,1137.0,-18.967
7.680,1142.2,-19.063
7.700,1147.4,-19.148
7.720,1152.6,-19.166
7.740,1157.8,-19.168
7.760,1163.0,-19.17
7.780,1168.2,-19.173
7.800,1173.4,-19.177
7.820,1178.5,-19.181
7.840,1183.7,-19.187
7.860,1188.8,-19.195
7.880,1194.0,-19.203
7.900,1199.1,-19.214
7.920,1204.2,-19.226
7.940,1209.3,-19.237
7.960,1214.4,-19.247
7.980,1219.5,-19.26
8.000,1224.6,-19.273
8.020,1229.7,-19.284
8.040,1234.8,-19.292
8.060,1239.9,-19.3
8.080,1244.9,-19.306
8.100,1250.0,-19.313
8.120,1255.0,-19.322
8.140,1260.1,-19.334
8.160,1265.1,-19.348
8.180,1270.1,-19.363
8.200,1275.2,-19.374
8.220,1280.2,-19.349
8.240,1285.2,-19.316
8.260,1290.2,-19.283
8.280,1295.1,-19.252
8.300,1300.1,-19.22
8.320,1305.1,-19.183
8.340,1310.1,-19.141
8.360,1315.0,-19.097
8.380,1320.0,-19.051
8.400,1324.9,-19.005
8.420,1329.8,-18.961
8.440,1334.7,-18.918
8.460,1339.7,-18.878
8.480,1344.6,-18.841
8.500,1349.5,-18.805
8.520,1354.4,-18.771
8.540,1359.3,-18.738
8.560,1364.1,-18.705
8.580,1369.0,-18.672
8.600,1373.9,-18.638
8.620,1378.7,-18.602
8.640,1383.6,-18.566
8.660,1388.4,-18.528
8.680,1393.3,-18.491
8.700,1398.1,-18.454
8.720,1402.9,-18.418
8.740,1407.7,-18.383
8.760,1412.5,-18.35
8.780,1417.3,-18.318
8.800,1422.1,-18.286
8.820,1426.9,-18.255
8.840,1431.7,-18.226
8.860,1436.4,-18.197
8.880,1441.2,-18.166
8.900,1445.9,-18.135
8.920,1450.7,-18.104
8.940,1455.4,-18.072
8.960,1460.2,-18.039
8.980,1464.9,-18.006
9.000,1469.6,-17.972
9.020,1474.3,-17.938
9.040,1479.0,-17.904
9.060,1483.7,-17.87
9.080,1488.4,-17.834
9.100,1493.1,-17.799
9.120,1497.8,-17.764
9.140,1502.4,-17.73
9.160,1507.1,-17.698
9.180,1511.7,-17.667
9.200,1516.4,-17.637
9.220,1521.0,-17.607
9.240,1525.7,-17.578
9.260,1530.3,-17.55
9.280,1534.9,-17.521
9.300,1539.5,-17.493
9.320,1544.1,-17.464
9.340,1548.7,-17.434
9.360,1553.3,-17.403
9.380,1557.9,-17.372
9.400,1562.5,-17.34
9.420,1567.0,-17.31
9.440,1571.6,-17.28
9.460,1576.2,-17.25
9.480,1580.7,-17.221
9.500,1585.3,-17.193
9.520,1589.8,-17.166
9.540,1594.3,-17.139
9.560,1598.8,-17.114
9.580,1603.3,-17.09
9.600,1607.9,-17.066
9.620,1612.4,-17.042
9.640,1616.9,-17.018
9.660,1621.3,-16.994
9.680,1625.8,-16.966
9.700,1630.3,-16.937
9.720,1634.8,-16.909
9.740,1639.2,-16.88
9.760,1643.7,-16.85
9.780,1648.1,-16.822
9.800,1652.6,-16.793
9.820,1657.0,-16.762
9.840,1661.4,-16.732
9.860,1665.8,-16.702
9.880,1670.3,-16.673
9.900,1674.7,-16.646
9.920,1679.1,-16.619
9.940,1683.4,-16.593
9.960,1687.8,-16.568
9.980,1692.2,-16.544
10.000,1696.6,-16.52
10.020,1701.0,-16.496
10.040,1705.3,-16.471
10.060,1709.7,-16.446
10.080,1714.0,-16.422
10.100,1718.4,-16.397
10.120,1722.7,-16.371
10.140,1727.0,-16.344
10.160,1731.3,-16.317
10.180,1735.7,-16.291
10.200,1740.0,-16.265
10.220,1744.3,-16.24
10.240,1748.6,-16.215
10.260,1752.8,-16.191
10.280,1757.1,-16.168
10.300,1761.4,-16.147
10.320,1765.7,-16.127
10.340,1769.9,-16.106
10.360,1774.2,-16.086
10.380,1778.4,-16.068
10.400,1782.7,-16.05
10.420,1786.9,-16.03
10.440,1791.1,-16.006
10.460,1795.4,-15.981
10.480,1799.6,-15.961
10.500,1803.8,-15.94
10.520,1808.0,-15.917
10.540,1812.2,-15.89
10.560,1816.4,-15.863
10.580,1820.6,-15.836
10.600,1824.8,-15.808
10.620,1828.9,-15.781
10.640,1833.1,-15.754
10.660,1837.3,-15.728
10.680,1841.4,-15.703
10.700,1845.6,-15.679
10.720,1849.7,-15.657
10.740,1853.8,-15.636
10.760,1858.0,-15.616
10.780,1862.1,-15.596
10.800,1866.2,-15.576
10.820,1870.3,-15.557
10.840,1874.4,-15.537
10.860,1878.5,-15.517
10.880,1882.6,-15.494
10.900,1886.7,-15.471
10.920,1890.8,-15.448
10.940,1894.8,-15.425
10.960,1898.9,-15.402
10.980,1903.0,-15.379
11.000,1907.0,-15.357
11.020,1911.1,-15.335
11.040,1915.1,-15.314
11.060,1919.1,-15.294
11.080,1923.2,-15.276
11.100,1927.2,-15.258
11.120,1931.2,-15.241
11.140,1935.2,-15.225
11.160,1939.2,-15.208
11.180,1943.2,-15.188
11.200,1947.2,-15.167
11.220,1951.2,-15.148
11.240,1955.2,-15.131
11.260,1959.2,-15.114
11.280,1963.1,-15.094
11.300,1967.1,-15.073
11.320,1971.1,-15.05
11.340,1975.0,-15.027
11.360,1979.0,-15.004
11.380,1982.9,-14.983
11.400,1986.8,-14.961
11.420,1990.8,-14.94
11.440,1994.7,-14.919
11.460,1998.6,-14.898
11.480,2002.5,-14.878
11.500,2006.4,-14.858
11.520,2010.3,-14.839
11.540,2014.2,-14.82
11.560,2018.1,-14.802
11.580,2022.0,-14.783
11.600,2025.8,-14.765
11.620,2029.7,-14.747
11.640,2033.6,-14.729
11.660,2037.4,-14.712
11.680,2041.3,-14.695
11.700,2045.1,-14.677
11.720,2048.9,-14.66
11.740,2052.8,-14.642
11.760,2056.6,-14.624
11.780,2060.4,-14.605
11.800,2064.2,-14.587
11.820,2068.0,-14.567
11.840,2071.9,-14.548
11.860,2075.6,-14.529
11.880,2079.4,-14.511
11.900,2083.2,-14.494
11.920,2087.0,-14.477
11.940,2090.8,-14.46
11.960,2094.5,-14.444
11.980,2098.3,-14.428
12.000,2102.1,-14.412
12.020,2105.8,-14.397
12.040,2109.6,-14.383
12.060,2113.3,-14.368
12.080,2117.0,-14.354
12.100,2120.8,-14.339
12.120,2124.5,-14.322
12.140,2128.2,-14.305
12.160,2131.9,-14.287
12.180,2135.6,-14.27
12.200,2139.3,-14.254
12.220,2143.0,-14.237
12.240,2146.7,-14.219
12.260,2150.4,-14.201
12.280,2154.1,-14.184
12.300,2157.7,-14.166
12.320,2161.4,-14.148
