Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.101,-207.61,,
0.203,73.12,,
0.311,-50.86,,
0.412,-323.95,,
0.515,-150.24,,
0.617,-300.46,,
0.720,-154.92,,
0.900,187.50,,
1.001,-132.97,,
1.106,-131.40,,
1.207,86.13,,
1.313,-17.41,,
1.416,79.01,,
1.517,91.74,,
1.618,136.54,,
1.727,272.04,,
1.829,-176.05,,
1.932,240.26,,
2.033,390.72,,
2.137,34.63,,
2.239,174.76,,
2.344,-3.41,,
2.445,172.29,,
2.546,401.16,,
2.656,34.07,,
2.767,647.83,,
2.875,251.55,,
2.976,234.61,,
3.091,423.34,,
3.197,740.32,,
3.308,540.61,,
3.416,426.93,,
3.529,182.12,,
3.638,444.34,,
3.745,338.07,,
3.847,279.69,,
3.947,533.69,,
4.049,669.14,,
4.185,1110.89,,
4.286,860.87,,
4.388,585.10,,
4.488,487.25,,
4.589,433.09,,
4.691,954.07,,
4.792,1067.95,,
4.895,705.66,,
5.013,856.48,,
5.136,803.48,,
5.251,787.46,,
5.376,944.16,,
5.500,813.75,,
5.623,975.19,,
5.741,1034.93,,
5.853,1029.81,,
5.970,585.93,,
6.093,755.22,,
6.213,1180.37,,
6.337,1086.92,,
6.451,1124.78,,
6.568,767.15,,
6.691,1127.75,,
6.808,747.41,,
6.934,1264.47,,
7.048,955.94,,
7.172,1144.23,,
7.291,1471.24,,
7.415,1345.01,,
7.535,1454.93,,
7.655,1154.11,,
7.776,933.60,,
7.908,1478.05,,
8.031,1465.74,,
8.150,1707.78,,
8.271,1413.20,,
8.403,1656.63,,
8.525,1784.12,,
8.641,1687.22,,
8.754,1447.31,,
8.863,1298.65,,
8.978,1344.76,,
9.091,2146.65,,
9.211,1871.55,,
9.322,1514.85,,
9.441,1659.39,,
9.549,1598.78,,
9.660,1456.58,,
9.777,1685.18,,
9.891,1781.38,,
10.004,1764.93,,
10.121,1518.03,,
10.234,2004.92,,
10.345,1605.65,,
10.457,1602.56,,
10.574,1680.37,,
10.690,1684.73,,
10.804,1684.26,,
10.920,2009.52,,
