Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.109,-207.61,,
0.213,73.12,,
0.333,-50.86,,
0.434,-323.95,,
0.535,-150.24,,
0.636,-300.46,,
0.737,-154.92,,
0.838,187.50,,
0.939,-132.97,,
1.042,-131.40,,
1.173,86.13,,
1.274,-17.41,,
1.375,79.01,,
1.476,91.74,,
1.577,136.54,,
1.678,272.04,,
1.780,-176.05,,
1.881,240.26,,
1.984,390.72,,
2.085,34.63,,
2.186,174.76,,
2.287,-3.41,,
2.393,172.29,,
2.505,401.16,,
2.606,34.07,,
2.709,647.83,,
2.810,251.55,,
2.912,234.61,,
3.013,423.34,,
3.114,740.32,,
3.215,540.61,,
3.319,426.93,,
3.435,182.12,,
3.539,444.34,,
3.648,338.07,,
3.756,279.69,,
3.864,533.69,,
3.972,669.14,,
4.088,1110.89,,
4.191,860.87,,
4.292,585.10,,
4.393,487.25,,
4.496,433.09,,
4.608,954.07,,
4.719,1067.95,,
4.825,705.66,,
4.940,856.48,,
5.045,803.48,,
5.148,787.46,,
5.260,944.16,,
5.369,813.75,,
5.479,975.19,,
5.591,1034.93,,
5.701,1029.81,,
5.812,585.93,,
5.929,755.22,,
6.037,1180.37,,
6.142,1086.92,,
6.246,1124.78,,
6.359,767.15,,
6.473,1127.75,,
6.577,747.41,,
6.678,1264.47,,
6.779,955.94,,
6.885,1144.23,,
6.986,1471.24,,
7.089,1345.01,,
7.199,1454.93,,
7.307,1154.11,,
7.414,933.60,,
7.525,1478.05,,
7.638,1465.74,,
7.743,1707.78,,
7.861,1413.20,,
7.968,1656.63,,
8.082,1784.12,,
8.196,1687.22,,
8.297,1447.31,,
8.398,1298.65,,
8.506,1344.76,,
8.612,2146.65,,
8.727,1871.55,,
8.839,1514.85,,
8.958,1659.39,,
9.059,1598.78,,
9.163,1456.58,,
9.273,1685.18,,
9.382,1781.38,,
9.495,1764.93,,
9.598,1518.03,,
9.709,2004.92,,
9.810,1605.65,,
9.913,1602.56,,
10.016,1680.37,,
10.124,1684.73,,
10.225,1684.26,,
10.344,2009.52,,
10.447,1606.74,,
10.560,1696.49,,
10.662,2083.80,,
10.766,2128.26,,
10.874,2038.63,,
10.977,1894.68,,
11.086,2242.97,,
11.189,1959.26,,
11.296,2055.23,,
11.405,1861.09,,
11.524,1937.41,,
11.642,2154.71,,
11.754,2313.20,,
11.857,2251.52,,
11.969,2149.29,,
12.086,1914.68,,
12.196,2230.92,,
12.302,2212.34,,
12.405,2332.15,,
12.506,-4673.91,,
12.607,2220.97,,
12.717,2167.51,,
12.830,2307.28,,
12.932,2111.71,,
13.033,2240.48,,
13.139,2177.17,,
13.242,2152.70,,
13.344,2294.39,,
13.447,2255.26,,
13.554,2379.59,,
13.744,2254.08,,
13.849,1962.33,,
13.957,2627.40,,
14.074,2516.88,,
14.194,2317.89,,
14.302,2578.66,,
14.413,2605.00,,
