Time_Seconds,Altitude_Meters,Event_Type,Event_Message
0.149,-207.61,,
0.255,73.12,,
0.416,-50.86,,
0.528,-323.95,,
0.636,-150.24,,
0.744,-300.46,,
0.852,-154.92,,
0.959,187.50,,
1.066,-132.97,,
1.170,-131.40,,
1.353,86.13,,
1.461,-17.41,,
1.569,79.01,,
1.675,91.74,,
1.789,136.54,,
1.890,272.04,,
2.001,-176.05,,
2.110,240.26,,
2.211,390.72,,
2.314,34.63,,
2.415,174.76,,
2.517,-3.41,,
2.618,172.29,,
2.719,401.16,,
2.822,34.07,,
2.925,647.83,,
3.026,251.55,,
3.143,234.61,,
3.244,423.34,,
3.346,740.32,,
3.447,540.61,,
3.549,426.93,,
3.651,182.12,,
3.756,444.34,,
3.864,338.07,,
3.966,279.69,,
4.071,533.69,,
4.172,669.14,,
4.274,1110.89,,
4.375,860.87,,
4.476,585.10,,
4.578,487.25,,
4.679,433.09,,
4.780,954.07,,
4.883,1067.95,,
4.986,705.66,,
5.087,856.48,,
5.189,803.48,,
5.294,787.46,,
5.395,944.16,,
5.496,813.75,,
5.601,975.19,,
5.702,1034.93,,
5.805,1029.81,,
5.907,585.93,,
6.025,755.22,,
6.126,1180.37,,
6.239,1086.92,,
6.343,1124.78,,
6.445,767.15,,
6.548,1127.75,,
6.649,747.41,,
6.753,1264.47,,
6.854,955.94,,
6.971,1144.23,,
7.073,1471.24,,
7.176,1345.01,,
7.284,1454.93,,
7.385,1154.11,,
7.488,933.60,,
7.589,1478.05,,
7.692,1465.74,,
7.814,1707.78,,
7.932,1413.20,,
8.035,1656.63,,
8.138,1784.12,,
8.239,1687.22,,
8.342,1447.31,,
8.444,1298.65,,
8.546,1344.76,,
8.662,2146.65,,
8.764,1871.55,,
8.866,1514.85,,
8.969,1659.39,,
9.072,1598.78,,
9.174,1456.58,,
9.276,1685.18,,
9.378,1781.38,,
9.481,1764.93,,
9.583,1518.03,,
9.686,2004.92,,
9.866,1605.65,,
9.968,1602.56,,
10.072,1680.37,,
10.177,1684.73,,
10.278,1684.26,,
10.380,2009.52,,
10.482,1606.74,,
10.583,1696.49,,
10.686,2083.80,,
10.787,2128.26,,
10.906,2038.63,,
11.007,1894.68,,
11.110,2242.97,,
11.213,1959.26,,
11.314,2055.23,,
11.416,1861.09,,
11.521,1937.41,,
11.624,2154.71,,
11.725,2313.20,,
11.828,2251.52,,
11.951,2149.29,,
12.054,1914.68,,
12.239,2230.92,,
12.346,2212.34,,
12.454,2332.15,,
12.556,-4673.91,,
12.670,2220.97,,
12.779,2167.51,,
12.887,2307.28,,
12.990,2111.71,,
13.098,2240.48,,
13.204,2177.17,,
13.311,2152.70,,
13.418,2294.39,,
13.524,2255.26,,
13.632,2379.59,,
13.737,2254.08,,
13.843,1962.33,,
13.961,2627.40,,
14.090,2516.88,,
14.223,2317.89,,
14.344,2578.66,,
14.454,2605.00,,
14.572,2521.24,,
14.695,2129.08,,
14.812,2506.32,,
14.933,2697.73,,
15.036,2266.92,,
15.142,2715.53,,
15.244,2846.03,,
15.350,2351.10,,
15.456,2664.85,,
15.558,2328.27,,
15.670,2950.61,,
15.779,2303.41,,
15.893,2685.98,,
15.996,2430.20,,
16.097,3165.13,,
16.202,2823.70,,
16.304,2749.46,,
16.423,2549.90,,
16.526,2714.01,,
16.628,2440.68,,
16.811,2777.62,,
16.928,2754.06,,
17.045,2458.76,,
17.169,3044.16,,
17.272,2674.43,,
17.375,2686.71,,
17.477,2773.88,,
17.585,2517.39,,
17.776,2553.10,,
17.877,3135.89,,
17.979,2596.88,,
18.080,3103.91,,
18.199,2736.96,,
18.301,3454.70,,
18.409,3006.03,,
18.522,2711.69,,
18.624,3002.71,,
18.726,2845.18,,
18.831,3071.63,,
18.941,2738.07,,
19.046,2595.48,,
19.154,3098.05,,
19.264,2886.79,,
19.371,2616.41,,
19.482,3087.28,,
19.585,2811.52,,
19.699,3168.14,,
19.818,3019.69,,
19.923,2938.93,,
20.029,2942.85,,
20.148,2982.81,,
20.265,9968.33,,
20.370,2687.83,,
20.471,2914.07,,
20.579,3021.53,,
20.699,2849.16,,
20.803,2829.40,,
20.908,3053.52,,
21.088,2586.36,,
21.192,3122.77,,
21.299,3126.87,,
21.409,3350.44,,
21.515,3347.61,,
21.639,2785.93,,
21.740,3063.99,,
21.843,3374.63,,
21.954,3010.80,,
22.056,2908.38,,
22.158,2921.31,,
22.265,2992.60,,
22.373,2842.87,,
22.495,3383.20,,
22.598,3739.36,,
22.705,2852.94,,
22.812,3359.18,,
22.914,3263.63,,
23.016,3474.96,,
23.124,3163.55,,
23.244,2849.72,,
23.346,3100.99,,
23.446,2986.27,,
23.548,2693.09,,
23.649,2875.03,,
23.757,3480.08,,
23.861,3284.08,,
23.962,3062.09,,
24.067,3382.04,,
24.173,3446.08,,
24.287,3303.91,,
24.388,3291.64,,
24.490,3249.11,,
24.592,3301.32,,
24.697,2855.51,,
24.798,3042.08,,
24.899,3466.41,,
25.002,3355.08,,
25.104,2861.52,,
25.220,3367.47,,
25.331,3668.83,,
25.432,3467.39,,
25.534,3043.00,,
25.634,3584.12,,
25.757,3462.92,,
25.862,3185.73,,
25.965,2919.65,,
26.066,3447.19,,
26.167,3460.31,,
26.268,3085.20,,
26.369,3336.66,,
26.472,3382.04,,
26.574,3206.43,,
26.682,2583.50,,
26.797,3202.94,,
26.910,3248.19,,
27.011,3380.18,,
27.117,3039.44,,
27.226,3336.42,,
27.341,3138.99,,
27.445,3004.85,,
27.560,3200.28,,
27.662,3333.16,,
27.768,3157.40,,
27.870,3527.22,,
27.971,3509.02,,
28.074,3074.54,,
28.183,3627.32,,
28.297,3227.25,,
28.406,3455.14,,
28.514,3594.39,,
28.625,3386.15,,
28.728,3258.85,,
28.844,3346.82,,
28.956,3228.42,,
29.058,3025.50,,
29.174,3342.93,,
29.277,3349.31,,
29.390,3452.69,,
29.498,3321.41,,
29.608,3532.57,,
29.716,3264.43,,
29.817,3509.12,,
29.919,3670.72,,
30.025,2956.44,,
30.127,3232.70,,
30.228,3417.23,,
30.334,3136.78,,
30.437,3253.59,,
30.543,3045.16,,
30.644,3613.54,,
30.747,3650.95,,
30.852,3386.08,,
30.955,3453.80,,
31.056,2829.86,,
31.157,3206.47,,
31.262,3007.75,,
31.363,2856.71,,
31.477,3512.59,,
31.597,3404.83,,
31.710,3269.24,,
31.813,3290.78,,
31.916,3727.42,,
32.027,3373.10,,
32.133,3279.78,,
32.237,3564.44,,
32.356,3071.40,,
32.466,3372.21,,
32.571,3339.78,,
32.679,3298.34,,
32.787,2870.16,,
32.900,3427.05,,
33.003,3277.37,,
33.111,3032.53,,
33.219,3738.63,,
33.327,3432.79,,
33.437,3060.56,,
33.542,2793.97,,
33.657,3403.78,,
33.764,3072.03,,
33.874,2924.27,,
33.984,3371.06,,
34.094,2768.72,,
34.201,3244.73,,
34.313,3293.36,,
34.420,3214.31,,
34.522,3470.21,,
34.635,3210.27,,
34.742,3439.53,,
34.857,3029.65,,
34.971,3492.44,,
35.156,2844.28,,
35.259,3364.13,,
35.372,2813.50,,
35.478,3140.13,,
35.589,3050.64,,
35.696,3106.10,,
35.804,3178.09,,
35.913,2918.26,,
36.018,3080.88,,
36.130,2818.56,,
36.235,3074.50,,
36.348,3144.26,,
36.451,2978.97,,
36.554,3009.05,,
36.656,3016.33,,
36.761,2699.80,,
36.868,3161.39,,
36.972,2616.52,,
37.081,3065.34,,
37.189,3257.51,,
37.301,3563.80,,
37.403,2969.02,,
37.512,3093.57,,
37.622,3485.01,,
37.731,2911.51,,
37.838,2879.45,,
37.955,2739.99,,
38.057,3050.86,,
38.162,3251.20,,
38.264,3211.08,,
38.366,2801.33,,
38.468,2932.16,,
38.573,3005.38,,
38.690,9281.90,,
38.792,2999.25,,
38.903,2908.75,,
